name1,type1,ref1,name2,type2,ref2,nb_ints,nb_multi,p_value,fdr,in_libs,strand1,meanleft1,meanright1,meanleft2,meanright2,strand2,length1,length2,minleft1,maxright1,minleft2,maxright2,relmean1,relmean2,relmin1,relmin2,relmax1,relmax2
chiP,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,155268,12,0.0,0.0,6,+,708285,708312,507252,507281,+,28,30,708062,709762,507196,507291,0.0,0.5807,0.0,0.0,1.0,1.0
glmU,CDS,NC_000913.3,glmZ,ncRNA,NC_000913.3,35550,0,0.0,0.0,6,-,3913717,3913751,3986584,3986611,+,34,27,3913652,3915135,3986432,3986634,1.0,0.8942,1.0,0.0,0.0474,1.0
gcvB,ncRNA,NC_000913.3,gltI,CDS,NC_000913.3,31502,2,0.0,0.0,6,+,2942780,2942809,686693,686720,-,30,28,2942673,2942935,686662,687760,0.5582,1.0,0.0,1.0,1.0,0.0
sstT,CDS,NC_000913.3,gcvB,ncRNA,NC_000913.3,23997,0,0.0,0.0,6,+,3239884,3239918,2942788,2942816,+,34,29,3239810,3241443,2942689,2942906,0.0,0.4516,0.0,0.0,1.0,1.0
hupB,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,22453,1,0.0,0.0,6,+,461447,461474,507251,507280,+,27,30,461329,461825,507177,507310,0.0847,0.5671,0.0,0.0,1.0,1.0
chbB,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,21035,1,0.0,0.0,6,-,1821269,1821295,507253,507282,+,26,30,1821205,1821627,507203,507289,1.0,0.5912,1.0,0.0,0.0,1.0
ytfK,CDS,NC_000913.3,fnrS,ncRNA,NC_000913.3,19639,1,0.0,0.0,6,+,4439766,4439797,1409206,1409235,+,32,30,4439336,4440050,1409126,1409252,1.0,0.6575,0.0,0.0,1.0,1.0
rbsD,CDS,NC_000913.3,arcZ,ncRNA,NC_000913.3,14489,0,0.0,0.0,6,+,3933602,3933633,3350658,3350688,+,31,30,3933308,3933778,3350578,3350723,0.6742,0.68,0.0,0.0083,1.0,1.0
yhjX,CDS,NC_000913.3,mgrR,ncRNA,NC_000913.3,12243,0,0.0,0.0,6,-,3710494,3710527,1622827,1622855,-,33,29,3710458,3710583,1622815,1622916,1.0,0.8915,1.0,1.0,1.0,0.0
dkgB,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,10214,0,0.0,0.0,6,+,228960,228993,507241,507270,+,33,29,228896,230137,507194,507289,0.0,0.4568,0.0,0.0,1.0,1.0
mtfA,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,9587,0,0.0,0.0,6,+,2044577,2044609,507240,507269,+,33,29,2043414,2044667,507197,507289,1.0,0.4442,0.0,0.0,1.0,1.0
dnaQ,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,9482,0,0.0,0.0,6,+,236963,236996,507241,507270,+,34,29,235937,237042,507194,507289,1.0,0.454,0.0,0.0,1.0,1.0
yeeO,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,9285,1,0.0,0.0,6,-,2058034,2058067,507241,507269,+,33,29,2053368,2059063,507185,507289,1.0,0.4463,1.0,0.0,0.4766,1.0
napF,CDS,NC_000913.3,arcZ,ncRNA,NC_000913.3,8806,1,0.0,0.0,6,-,2303228,2303253,3350655,3350685,+,26,30,2302997,2303515,3350582,3350700,0.493,0.6555,1.0,0.0417,0.0,1.0
ubiX,CDS,NC_000913.3,gcvB,ncRNA,NC_000913.3,8359,0,0.0,0.0,6,-,2427834,2427867,2942795,2942825,+,34,30,2427777,2428605,2942694,2942902,1.0,0.4888,1.0,0.0,0.0369,1.0
glmU,CDS,NC_000913.3,glmZ:cyaA,IGR,NC_000913.3,7391,0,0.0,0.0,6,-,3913721,3913754,3986607,3986637,+,34,31,3913652,3915200,3986604,3986645,1.0,0.0009,1.0,0.0,0.0,0.0095
fliZ,CDS,NC_000913.3,gcvB,ncRNA,NC_000913.3,6549,0,0.0,0.0,6,-,2000426,2000459,2942779,2942808,+,33,29,2000368,2001049,2942693,2942902,1.0,0.4099,1.0,0.0,0.0,1.0
rplK,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,6271,0,0.0,0.0,6,+,4178424,4178450,507250,507279,+,26,30,4178352,4178886,507200,507289,0.0071,0.5607,0.0,0.0,1.0,1.0
raiA,CDS,NC_000913.3,gcvB,ncRNA,NC_000913.3,6216,2,6.752287926390306e-75,5.661903757780337e-72,6,+,2737218,2737249,2942791,2942819,+,31,29,2737117,2737548,2942692,2942903,0.2788,0.4682,0.0,0.0,1.0,1.0
yebO,CDS,NC_000913.3,cyaR,ncRNA,NC_000913.3,5181,0,0.0,0.0,6,-,1908477,1908510,2167166,2167196,+,33,30,1907581,1908564,2167111,2167202,0.1306,0.6122,1.0,0.0,0.0,1.0
dmsA,CDS,NC_000913.3,ryhB,ncRNA,NC_000913.3,4634,0,0.0,0.0,6,+,940893,940927,3580933,3580962,-,34,29,940836,943087,3580920,3581026,0.0,0.9271,0.0,1.0,0.8707,0.0
tdcA,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,4184,0,8.98874287383845e-24,2.556968491160435e-21,6,-,3266539,3266568,507251,507280,+,29,30,3266011,3267083,507203,507290,0.5297,0.5673,1.0,0.0,0.0,1.0
fliC,CDS,NC_000913.3,mgrR,ncRNA,NC_000913.3,3899,0,1.5269811374958228e-75,1.303110805361984e-72,6,-,2003452,2003484,1622825,1622853,-,32,28,2001783,2003624,1622816,1622914,0.081,0.908,1.0,1.0,0.0,0.0
hfq,CDS,NC_000913.3,cyaR,ncRNA,NC_000913.3,3842,0,0.0,0.0,6,+,4400253,4400284,2167162,2167192,+,32,30,4400228,4400651,2167110,2167202,0.0,0.5654,0.0,0.0,1.0,1.0
eptB,CDS,NC_000913.3,gcvB,ncRNA,NC_000913.3,3559,0,0.0,0.0,6,-,3707790,3707822,2942777,2942805,+,32,29,3707689,3710493,2942692,2942902,1.0,0.3973,1.0,0.0,0.0,1.0
flxA,CDS,NC_000913.3,fnrS,ncRNA,NC_000913.3,3377,0,0.0,0.0,6,+,1646608,1646640,1409200,1409229,+,32,30,1646385,1646867,1409129,1409251,0.7102,0.6039,0.0,0.0,1.0,1.0
ompX,CDS,NC_000913.3,cyaR,ncRNA,NC_000913.3,3344,1,0.0,0.0,6,+,850487,850516,2167164,2167194,+,29,30,850407,850987,2167109,2167202,0.1289,0.5911,0.0,0.0,1.0,1.0
tnaC,CDS,NC_000913.3,arcZ,ncRNA,NC_000913.3,3177,0,0.0,0.0,6,+,3888502,3888531,3350657,3350686,+,29,30,3888411,3888619,3350592,3350698,1.0,0.6719,0.0,0.125,1.0,1.0
ypfM,CDS,NC_000913.3,arcZ,ncRNA,NC_000913.3,3140,0,0.0,0.0,6,-,2590816,2590844,3350656,3350684,+,28,29,2585519,2590885,3350581,3350699,0.3622,0.6644,1.0,0.0333,0.0,1.0
