name1,type1,ref1,name2,type2,ref2,nb_ints,nb_multi,p_value,fdr,in_libs,strand1,meanleft1,meanright1,meanleft2,meanright2,strand2,length1,length2,minleft1,maxright1,minleft2,maxright2,relmean1,relmean2,relmin1,relmin2,relmax1,relmax2
chiP,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,155267,12,0.0,0.0,6,+,708285,708312,507252,507281,+,28,30,708062,709762,507196,507291,0.0,0.5807,0.0,0.0,1.0,1.0
gcvB,ncRNA,NC_000913.3,gltI,CDS,NC_000913.3,31479,2,0.0,0.0,6,+,2942780,2942809,686693,686720,-,30,28,2942673,2942917,686662,687760,0.5578,1.0,0.0,1.0,1.0,0.0
sstT,CDS,NC_000913.3,gcvB,ncRNA,NC_000913.3,23997,0,0.0,0.0,6,+,3239884,3239918,2942788,2942816,+,34,29,3239810,3241443,2942689,2942906,0.0,0.4516,0.0,0.0,1.0,1.0
glmU,CDS,NC_000913.3,glmZ,ncRNA,NC_000913.3,23802,0,0.0,0.0,6,-,3913717,3913751,3986580,3986607,+,34,27,3913652,3915135,3986432,3986619,1.0,0.8708,1.0,0.0,0.0474,1.0
hupB,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,22452,1,0.0,0.0,6,+,461447,461474,507251,507280,+,27,30,461329,461825,507177,507290,0.0846,0.5671,0.0,0.0,1.0,1.0
chbB,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,21035,1,0.0,0.0,6,-,1821269,1821295,507253,507282,+,26,30,1821205,1821627,507203,507289,1.0,0.5912,1.0,0.0,0.0,1.0
glmU,CDS,NC_000913.3,glmZ:cyaA,IGR,NC_000913.3,19139,0,0.0,0.0,6,-,3913718,3913752,3986598,3986626,+,34,28,3913652,3915200,3986589,3986645,1.0,0.0,1.0,0.0,0.0,0.0095
ytfK,CDS,NC_000913.3,fnrS,ncRNA,NC_000913.3,16365,0,0.0,0.0,6,+,4439768,4439799,1409203,1409232,+,32,29,4439336,4440050,1409126,1409250,1.0,0.6336,0.0,0.0,1.0,1.0
rbsD,CDS,NC_000913.3,arcZ,ncRNA,NC_000913.3,14488,0,0.0,0.0,6,+,3933602,3933633,3350658,3350688,+,31,30,3933308,3933778,3350578,3350699,0.6742,0.68,0.0,0.0083,1.0,1.0
yhjX,CDS,NC_000913.3,mgrR,ncRNA,NC_000913.3,12243,0,0.0,0.0,6,-,3710494,3710527,1622827,1622855,-,33,29,3710458,3710583,1622815,1622916,1.0,0.8915,1.0,1.0,1.0,0.0
