name1,type1,ref1,name2,type2,ref2,nb_chimeras,nb_multi,p_value,fdr,in_libs,strand1,left1,right1,left2,right2,strand2
tuf,CDS,NC_002505,tuf2,CDS,NC_002505,30,0,3.5974357280837364e-26,6.532943282200066e-23,2,+,335454,336515,381752,382947,+
tuf2,CDS,NC_002505,tuf,CDS,NC_002505,29,1,4.840306841470208e-25,5.859998149406599e-22,2,+,381803,382955,335306,336517,+
VC0258,CDS,NC_002505,VC0255,CDS,NC_002505,20,0,2.4769587848480082e-37,8.996314306567965e-34,2,+,263546,263683,262098,262290,+
Spot42,sRNA,NC_002505,Vcr083,sRNA,NC_002505,13,0,1.1013146113519307e-17,9.99993667107553e-15,2,+,106087,106183,2472424,2472502,+
MicX,sRNA,NC_002506,VC0972,5UTR,NC_002505,10,0,1.3454203394843656e-14,8.144277788345361e-12,2,-,893289,893511,1037782,1037869,+
tuf,3UTR,NC_002505,tuf2,CDS,NC_002505,10,0,2.6700825475436423e-14,1.3853914018112157e-11,2,+,336524,336561,382486,382703,+
tuf2,3UTR,NC_002505,tuf,CDS,NC_002505,8,0,1.2544442682398826e-11,5.695176977809067e-9,2,+,382937,383006,336085,336341,+
VC0158:VC0162,IGR,NC_002505,VC2745:VC2753,IGR,NC_002505,7,3,1.4144658761623203e-7,2.140558359258978e-5,2,+,151012,152967,2931133,2936948,-
tuf,CDS,NC_002505,VC0361,CDS,NC_002505,7,0,3.00994623061192e-7,3.769698175718101e-5,2,+,335376,335888,381375,381648,+
VC0059:ccrB,IGR,NC_002505,VC2745:VC2753,IGR,NC_002505,7,5,5.215154021962222e-7,5.919199814927123e-5,2,+,53748,55776,2928054,2937116,-
VC0972,5UTR,NC_002505,MicX,sRNA,NC_002506,7,0,8.307747082018253e-10,2.5144781168241913e-7,1,+,1037782,1037874,893284,893460,-
VCA0482:VCA0503,IGR,NC_002506,VC1343,CDS,NC_002505,7,0,7.409588902505288e-15,5.382325378779841e-12,2,-,428804,428841,1429915,1430064,-
Vssrna24,sRNA,NC_002505,Vcr076,sRNA,NC_002505,6,0,4.911978338202456e-6,0.00015513308977696798,1,+,106497,106538,2266089,2266135,-
tmRNA,CDS,NC_002505,Vcr043,sRNA,NC_002505,5,0,0.00017154233385765453,0.0021784676803181862,2,-,914291,914593,1114631,1114728,+
tuf2,CDS,NC_002505,tuf,5UTR,NC_002505,5,0,1.967499770278632e-6,8.932448957064989e-5,2,+,381901,382105,335175,335309,+
tuf,CDS,NC_002505,tuf2,5UTR,NC_002505,5,0,1.7878209279494718e-7,2.5973462441249926e-5,2,+,335598,336037,381697,381772,+
