name1,type1,ref1,name2,type2,ref2,nb_ints,nb_multi,p_value,fdr,in_libs,strand1,meanleft1,meanright1,meanleft2,meanright2,strand2,length1,length2,minleft1,maxright1,minleft2,maxright2,relmean1,relmean2,relmin1,relmin2,relmax1,relmax2
gcvB,ncRNA,NC_000913.3,gltI,CDS,NC_000913.3,55354,97,0.0,0.0,3,+,2942800,2942831,686691,686726,-,31,35,2942659,2942938,686657,687762,0.6627,1.0,0.0,1.0,1.0,0.0
gltI,CDS,NC_000913.3,gcvB,ncRNA,NC_000913.3,54940,40,0.0,0.0,3,-,686776,686813,2942849,2942881,+,37,32,686651,687747,2942659,2942926,1.0,0.7533,1.0,0.0,0.0,1.0
dkgB,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,29556,9,0.0,0.0,3,+,228959,228995,507239,507271,+,36,33,228894,229548,507201,507289,0.0,0.4253,0.0,0.0,0.4745,1.0
dnaQ,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,28178,0,0.0,0.0,3,+,236962,236998,507239,507271,+,37,32,236075,237010,507202,507289,1.0,0.4313,0.0109,0.0,1.0,1.0
mtfA,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,25433,10,0.0,0.0,3,+,2044577,2044612,507238,507270,+,36,33,2043413,2044706,507194,507289,1.0,0.4145,0.0,0.0,1.0,1.0
yeeO,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,24642,0,0.0,0.0,3,-,2058034,2058070,507239,507270,+,37,32,2053542,2059689,507196,507289,1.0,0.424,1.0,0.0,0.0956,1.0
ytfK,CDS,NC_000913.3,fnrS,ncRNA,NC_000913.3,13160,14,0.0,0.0,3,+,4439760,4439796,1409204,1409238,+,36,34,4439446,4439952,1409112,1409252,1.0,0.6408,0.0,0.0,1.0,1.0
nlpD,CDS,NC_000913.3,dsrA,ncRNA,NC_000913.3,12257,9,0.0,0.0,3,-,2867666,2867702,2025252,2025285,-,37,33,2867533,2868614,2025218,2025315,0.9221,0.7045,1.0,1.0,0.122,0.0
ytfR,CDS,NC_000913.3,arcZ,ncRNA,NC_000913.3,11109,9,0.0,0.0,3,+,4451014,4451048,3350658,3350692,+,35,35,4450968,4452481,3350583,3350700,0.0,0.6776,0.0,0.05,0.9474,1.0
glmU,CDS,NC_000913.3,glmZ,ncRNA,NC_000913.3,11101,4,0.0,0.0,3,-,3913718,3913755,3986585,3986616,+,38,32,3913650,3914975,3986428,3986640,1.0,0.8965,1.0,0.0,0.1642,1.0
eptB,CDS,NC_000913.3,gcvB,ncRNA,NC_000913.3,9977,20,0.0,0.0,3,-,3707742,3707779,2942773,2942806,+,37,34,3707689,3710354,2942693,2942908,1.0,0.3804,1.0,0.0,0.0716,1.0
nlpD,CDS,NC_000913.3,mgrR,ncRNA,NC_000913.3,9924,11,0.0,0.0,3,-,2867774,2867810,1622824,1622857,-,36,34,2867533,2868303,1622815,1622917,0.8274,0.9215,1.0,1.0,0.3951,0.0
ytfQ,CDS,NC_000913.3,arcZ,ncRNA,NC_000913.3,9429,2,0.0,0.0,3,+,4450930,4450968,3350658,3350692,+,38,35,4449926,4451009,3350640,3350698,1.0,0.6779,0.0,0.525,1.0,1.0
