name	locus_tag	ko_category
VC0001	VC0001	None
VC0002	VC0002	KO-a8.a1.a3
trmE	VC0003	KO-a7.a2.a7
VC0004	VC0004	KO-a2.a3.a1:KO-a3.a1.a3:KO-a4.a4.a1:KO-a7.a2.b6:KO-a7.a3.a2
VC0005	VC0005	KO-a8.a4.a2
rnpA	VC0006	KO-a7.a2.a7
rpmH	VC0007	KO-a2.a2.a1:KO-a7.a2.a5
VC0008	VC0008	KO-a3.a1.a1:KO-a7.a3.a1
VC0009	VC0009	KO-a3.a1.a1:KO-a7.a3.a1
VC0010	VC0010	KO-a3.a1.a1:KO-a7.a3.a1
dnaA	VC0012	KO-a3.a2.a1:KO-a7.a2.b3:KO-a7.a2.b4
VC0013	VC0013	KO-a2.a4.a1:KO-a2.a4.a4:KO-a2.a4.a5:KO-a7.a2.b3:KO-a7.a2.b5
recF	VC0014	KO-a2.a4.a5:KO-a7.a2.b5
gyrB	VC0015	KO-a7.a2.b3:KO-a7.a2.b5
VC0015a	VC0015a	None
VC0017	VC0017	None
VC0018	VC0018	KO-a7.a2.a9
avtA	VC0019	KO-a1.a5.a5:KO-a7.a1.b1
glyS	VC0020	KO-a2.a2.a2:KO-a7.a1.b1:KO-a7.a2.a7
glyQ	VC0021	KO-a2.a2.a2:KO-a7.a1.b1:KO-a7.a2.a7
VC0022	VC0022	KO-a7.a2.b0:KO-a7.a3.a1
VC0023	VC0023	None
VC0024	VC0024	KO-a2.a3.a5:KO-a7.a2.a7
VC0025	VC0025	None
VC0026	VC0026	KO-a1.a1.b2
VC0027	VC0027	KO-a1.a5.a2:KO-a1.a5.a5
VC0028	VC0028	KO-a1.a5.a5:KO-a1.a8.a5
VC0029	VC0029	KO-a1.a5.a3:KO-a1.a5.a4:KO-a1.a5.a5:KO-a1.a8.a5:KO-a7.a1.b1
ilvM	VC0030	KO-a1.a1.b3:KO-a1.a1.b4:KO-a1.a5.a5:KO-a1.a8.a5
VC0031	VC0031	KO-a1.a1.b3:KO-a1.a1.b4:KO-a1.a5.a5:KO-a1.a8.a5
VC0032	VC0032	KO-a8.a2.a3
VC0033	VC0033	None
VC0034	VC0034	KO-a6.b1.a3:KO-a7.a2.a9
VC0035	VC0035	None
VC0036	VC0036	None
VC0037	VC0037	KO-a8.a4.a2
VC0038	VC0038	None
VC0039	VC0039	KO-a8.a3.a2
VC0040	VC0040	KO-a7.a3.a3
VC0041	VC0041	None
VC0042	VC0042	KO-a7.a3.a1
trkA	VC0043	KO-a7.a3.a1
VC0044	VC0044	KO-a7.a2.a6
fmt	VC0045	KO-a1.a8.a9:KO-a2.a2.a2
def	VC0046	KO-a8.a1.a1
VC0047	VC0047	None
VC0048	VC0048	KO-a8.a2.a4
VC0049	VC0049	KO-a8.a4.a1
VC0050	VC0050	KO-a8.a2.a4
VC0051	VC0051	KO-a1.a4.a1
VC0052	VC0052	KO-a1.a4.a1
VC0054	VC0054	KO-a7.a2.a6:KO-a7.a2.a7
VC0055	VC0055	KO-a1.a8.b1
aroE	VC0056	KO-a1.a5.b4
VC0057	VC0057	None
VC0058	VC0058	None
VC0059	VC0059	None
ccrB	VC0060	KO-a7.a3.a1
VC0061	VC0061	KO-a1.a8.a1
thiE	VC0062	KO-a1.a8.a1
VC0063	VC0063	KO-a1.a8.a1:KO-a2.a3.a5
VC0064	VC0064	KO-a2.a3.a5
thiG	VC0065	KO-a1.a8.a1
thiH	VC0066	KO-a1.a8.a1
VC0067	VC0067	KO-a7.a1.a4
VC0068	VC0068	None
VC0069	VC0069	KO-a7.a3.a1
VC0070	VC0070	None
VC0071	VC0071	KO-a7.a2.a1
VC0072	VC0072	None
VC0073	VC0073	KO-a7.a2.a6
VC0074	VC0074	None
VC0075	VC0075	None
VC0076	VC0076	KO-a8.a3.a4
VC0077	VC0077	None
VC0078	VC0078	KO-a8.a1.a1
VC0079	VC0079	KO-a7.a3.a1
VC0080	VC0080	None
VC0081	VC0081	None
VC0082	VC0082	KO-a8.a2.a4
ubiE	VC0083	KO-a1.a8.b2
VC0084	VC0084	KO-a8.a1.a8
ubiB	VC0085	KO-a8.a1.a8
tatA	VC0086	KO-a2.a3.a1:KO-a3.a1.a3:KO-a7.a3.a2
VC0087	VC0087	KO-a2.a3.a1:KO-a3.a1.a3:KO-a7.a3.a2
VC0088	VC0088	KO-a2.a3.a1:KO-a3.a1.a3:KO-a7.a3.a2
VC0089	VC0089	KO-a8.a1.a1
VC0090	VC0090	KO-a7.a3.a1
VC0091	VC0091	None
VC0092	VC0092	KO-a7.a1.a4:KO-a7.a2.b5
VC0093	VC0093	KO-a1.a3.a9:KO-a1.a3.b0:KO-a7.a1.a8
ubiA	VC0094	KO-a1.a8.b2:KO-a7.a1.b0
VC0095	VC0095	KO-a1.a8.b2
VC0096	VC0096	None
VC0097	VC0097	KO-a4.a5.a2:KO-a7.a3.a5
VC0098	VC0098	KO-a3.a2.a1:KO-a4.a5.a1:KO-a7.a3.a5
VC0099	VC0099	KO-a8.a4.a1
glpE	VC0100	KO-a1.a2.a8
VC0103	VC0103	KO-a8.a1.a1
VC0105	VC0105	KO-a1.a8.b1:KO-a7.a3.a7
VC0106	VC0106	None
VC0108	VC0108	KO-a2.a4.a1:KO-a2.a4.a2:KO-a2.a4.a3:KO-a2.a4.a5:KO-a7.a2.b3:KO-a7.a2.b5
engB	VC0111	KO-a7.a2.b4
VC0112	VC0112	None
VC0113	VC0113	None
VC0114	VC0114	KO-a8.a4.a2
VC0115	VC0115	None
VC0116	VC0116	KO-a1.a8.b1
VC0117	VC0117	KO-a8.a1.a8
VC0118	VC0118	KO-a1.a8.b1
hemD	VC0119	KO-a1.a8.b1
hemC	VC0120	KO-a1.a8.b1
VC0121	VC0121	None
cyaA	VC0122	KO-a1.a4.a1:KO-a4.a4.a2
cyaY	VC0123	KO-a8.a3.a6
VC0124	VC0124	None
VC0125	VC0125	KO-a1.a5.a6
dapF	VC0126	KO-a1.a5.a6
VC0127	VC0127	KO-a8.a4.a2
xerC	VC0128	KO-a7.a2.b4
VC0129	VC0129	KO-a1.a8.a2
VC0130	VC0130	KO-a4.a4.a2
VC0131	VC0131	KO-a8.a1.a1
VC0132	VC0132	KO-a8.a4.a1
VC0134	VC0134	None
VC0135	VC0135	KO-a1.a3.b0
rhtB	VC0136	KO-a7.a3.a1
VC0137	VC0137	KO-a4.a4.a2
VC0139	VC0139	KO-a7.a2.b4
VC0140	VC0140	None
VC0142	VC0142	None
VC0142a	VC0142a	None
VC0143	VC0143	None
VC0144	VC0144	None
VC0145	VC0145	KO-a8.a4.a1
VC0146	VC0146	KO-a7.a2.a6
VC0147	VC0147	KO-a2.a3.a1:KO-a3.a1.a3:KO-a4.a4.a1:KO-a7.a3.a2
VC0148	VC0148	KO-a3.a1.a1:KO-a7.a2.b4:KO-a7.a3.a1
VC0149	VC0149	KO-a3.a1.a1:KO-a7.a2.b4:KO-a7.a3.a1
VC0150	VC0150	KO-a7.a2.a2
VC0151	VC0151	KO-a1.a8.a4
VC0152	VC0152	KO-a7.a2.a1
VC0153	VC0153	None
