name1,type1,ref1,name2,type2,ref2,nb_ints,nb_multi,p_value,fdr,in_libs,strand1,meanleft1,meanright1,meanleft2,meanright2,strand2,relpos1,relpos2,length1,length2,minleft1,maxright1,minleft2,maxright2
Vcr222,sRNA,NC_002505,Vcr045,sRNA,NC_002505,92620,283,0.0,0.0,2,-,2783842,2783878,1164284,1164320,+,0.9587,0.0955,36,36,2783797,2783956,1164257,1164328
Vcr076,sRNA,NC_002505,Vssrna24,sRNA,NC_002505,73588,45,0.0,0.0,2,-,2266086,2266123,106500,106536,+,0.4018,0.0149,37,36,2266011,2266174,106452,106560
Vcr229,sRNA,NC_002506,Vssrna24,sRNA,NC_002505,19808,67,0.0,0.0,2,+,897575,897617,106501,106536,+,0.7576,0.0112,43,35,897499,897769,106480,106556
VC0734,CDS,NC_002505,Vcr001,sRNA,NC_002505,15572,46,0.0,0.0,2,+,789069,789105,21903,21939,+,0.9276,0.0438,36,36,788934,790553,21884,21941
MicX,sRNA,NC_002506,VC0972,5UTR,NC_002505,11677,13,0.0,0.0,2,-,893377,893416,1037826,1037863,+,0.6951,0.2002,40,37,893270,893520,1037762,1037905
Vcr025,sRNA,NC_002505,Vcr090,sRNA,NC_002506,11502,15,0.0,0.0,2,+,522668,522711,3245,3279,+,0.5613,0.0635,43,35,522631,522721,3208,3288
Vssrna24,sRNA,NC_002505,Vcr229,sRNA,NC_002506,9301,30,1.9905505827394913e-44,4.0940667075752455e-42,2,+,106485,106520,897647,897686,+,0.9257,0.1973,36,40,106477,106552,897521,897741
VC0549,CDS,NC_002505,Vcr001,sRNA,NC_002505,9242,38,0.0,0.0,2,+,582449,582492,21904,21938,+,0.6447,0.0616,44,35,582336,582652,21872,21943
VC0972,5UTR,NC_002505,MicX,sRNA,NC_002506,8547,14,0.0,0.0,2,+,1037791,1037832,893322,893358,-,0.7421,0.7518,42,36,1037755,1037901,893270,893570
VC0573,5UTR,NC_002505,Vcr001,sRNA,NC_002505,5577,17,0.0,0.0,2,+,604160,604204,21903,21938,+,0.6352,0.0669,44,36,604126,604236,21877,21942
VCA0059,5UTR,NC_002506,VrrA,sRNA,NC_002505,4221,26,0.0,0.0,2,-,66777,66802,1878779,1878821,+,0.9683,0.0127,26,42,66750,66844,1878686,1878825
VC1091,CDS,NC_002505,Vcr001,sRNA,NC_002505,3680,24,0.0,0.0,2,+,1159642,1159686,21904,21938,+,0.4025,0.0537,45,35,1158668,1160296,21885,21941
VC1337,5UTR,NC_002505,Spot42,sRNA,NC_002505,3063,3,0.0,0.0,2,+,1420764,1420798,106137,106178,+,0.5346,0.0569,35,42,1420704,1420833,106080,106185
VC1461,5UTR,NC_002505,Vcr096,sRNA,NC_002506,3032,2,0.0,0.0,2,-,1571253,1571296,243937,243972,-,0.829,0.268,44,35,1571241,1571305,243935,244004
VCA1097,CDS,NC_002506,VqmR,sRNA,NC_002506,3015,11,0.0,0.0,2,-,1052920,1052960,1031530,1031566,+,0.7978,0.1408,41,37,1052841,1053183,1031444,1031590
VC2086,CDS,NC_002505,Vcr001,sRNA,NC_002505,2902,20,0.0,0.0,2,-,2246058,2246102,21904,21938,+,0.4637,0.0554,45,35,2245384,2246656,21878,21943
Vcr103,sRNA,NC_002506,Qrr3,sRNA,NC_002506,2774,129,0.0,0.0,2,-,776889,776924,772302,772337,+,0.5382,0.2587,36,35,776854,776969,772265,772369
VC1872,CDS,NC_002505,Vcr076,sRNA,NC_002505,2434,18,1.1925543352593008e-286,1.332200109576331e-283,2,+,2015994,2016031,2266024,2266064,-,0.4624,0.595,37,40,2014987,2016783,2266012,2266145
VC0583,5UTR,NC_002505,Qrr3,sRNA,NC_002506,2056,15,0.0,0.0,2,-,613189,613232,772313,772347,+,0.8313,0.159,43,35,613168,613256,772271,772369
VC1149,5UTR,NC_002505,Vcr001,sRNA,NC_002505,2002,17,0.0,0.0,2,-,1221987,1222008,21904,21939,+,0.3274,0.0498,21,35,1221983,1222030,21890,21941
Vcr229,sRNA,NC_002506,Vcr228,sRNA,NC_002506,1812,11,0.0,0.0,2,+,897565,897608,787374,787409,+,0.8052,0.1289,44,36,897514,897760,787264,787432
VC0328,3UTR,NC_002505,Vcr017,sRNA,NC_002505,1714,0,0.0,0.0,2,+,344437,344461,350276,350319,-,0.2689,0.5157,25,44,344411,344466,350274,350367
