name1,type1,ref1,name2,type2,ref2,nb_ints,nb_multi,p_value,fdr,in_libs,strand1,meanleft1,meanright1,meanleft2,meanright2,strand2,meanlength1,meanlength2,minleft1,maxright1,minleft2,maxright2,nms1,nms2,meanmiss1,meanmiss2,relmean1,relmean2,relmin1,relmax1,relmin2,relmax2
MicX,sRNA,NC_002506,VC0972,5UTR,NC_002505,52195,75,0.0,0.0,2,-,893376,893417,1037828,1037864,+,41,37,893270,893612,1037723,1038963,0.4586,0.1312,0.6538,0.1425,0.6984,0.0,0.0117,1.0,0.0,1.0
VC0972,5UTR,NC_002505,MicX,sRNA,NC_002506,52185,113,0.0,0.0,2,+,1037792,1037834,893313,893348,-,43,36,1037714,1038985,893269,893521,0.2582,0.2467,0.3571,0.2846,0.0,0.8845,0.0,1.0,0.277,1.0
Vcr229,sRNA,NC_002506,Vssrna24,sRNA,NC_002505,17074,213,0.0,0.0,2,+,897559,897602,106501,106536,+,44,36,897517,897748,106448,106553,0.4189,0.0699,0.5548,0.0775,0.3786,0.3611,0.0,1.0,0.0,1.0
MicX,sRNA,NC_002506,rplU,5UTR,NC_002505,14839,151,0.0,0.0,2,-,893367,893451,466304,466323,+,85,20,893271,893618,466287,466589,0.388,0.0611,0.5798,0.0622,0.7274,0.0,0.0,1.0,0.0,0.4502
Qrr2,sRNA,NC_002506,aphA,5UTR,NC_002505,14500,21,0.0,0.0,2,+,48449,48489,2821423,2821459,+,41,36,48446,48518,2821310,2821946,0.2823,0.0595,0.375,0.0683,0.6012,0.0,0.3434,0.7771,0.0,0.8256
FarS,sRNA,NC_002505,Vssrna24,sRNA,NC_002505,13982,64,0.0,0.0,2,-,2266089,2266125,106501,106537,+,37,36,2266011,2266140,106450,106555,0.5763,0.0649,1.1138,0.0736,0.3856,0.9944,0.0,1.0,0.0,1.0
Vssrna24,sRNA,NC_002505,Vcr229,sRNA,NC_002506,11728,73,0.0,0.0,2,+,106484,106519,897649,897688,+,36,40,106441,106554,897524,897738,0.1555,0.2043,0.2013,0.4911,0.6792,0.6119,0.0,1.0,0.0,1.0
VCA0166,CDS,NC_002506,Vcr227,sRNA,NC_002506,11004,1110,0.0,0.0,2,+,184255,184290,479975,480014,+,35,40,184115,184514,479951,480027,0.4023,0.0871,0.4964,0.0986,0.1547,0.2603,0.0,1.0,0.0,1.0
VC0706,CDS,NC_002505,Vcr043,sRNA,NC_002505,10834,66,0.0,0.0,2,-,756356,756397,1114688,1114724,+,42,38,756163,756604,1114593,1114750,0.3622,0.0787,0.5229,0.0905,0.6528,0.8448,0.0,1.0,0.0189,1.0
Vcr083,sRNA,NC_002505,Spot42,sRNA,NC_002505,9755,16,0.0,0.0,2,+,2472442,2472482,106129,106169,+,41,41,2472390,2472576,106075,106185,0.4231,0.1602,0.8975,0.2084,0.3998,0.4885,0.0,0.8821,0.0,1.0
VC0731,3UTR,NC_002505,Vcr043,sRNA,NC_002505,9575,37,0.0,0.0,2,-,786629,786669,1114693,1114731,+,41,39,786535,787343,1114583,1114750,0.3559,0.081,0.4817,0.0937,1.0,0.8863,0.0,1.0,0.0,1.0
galK,CDS,NC_002505,Spot42,sRNA,NC_002505,9384,32,0.0,0.0,2,-,1708116,1708154,106145,106180,+,39,36,1707068,1708220,106086,106186,0.3119,0.1668,0.3945,0.2454,0.0707,0.9562,0.0,0.9318,0.0917,1.0
VC0395,CDS,NC_002505,Qrr1,sRNA,NC_002505,9041,31,0.0,0.0,2,-,421464,421488,1089969,1090043,-,24,75,420797,421542,1089962,1090062,0.5455,0.0408,0.5471,0.0535,0.0498,0.1602,0.0,0.8126,0.0,1.0
rplQ,CDS,NC_002505,FarS,sRNA,NC_002505,8069,45,0.0,0.0,2,-,2751389,2751429,2266026,2266063,-,41,39,2750951,2751533,2266014,2266141,0.3293,0.0813,0.4857,0.0908,0.2815,0.6054,0.0,1.0,0.0,1.0
VCA0987,CDS,NC_002506,Spot42,sRNA,NC_002505,7980,81,0.0,0.0,2,+,938109,938149,106145,106179,+,41,36,938018,940405,106076,106186,0.3231,0.2071,0.4351,0.2624,0.0265,0.6294,0.0,0.9623,0.0,1.0
VC0706,CDS,NC_002505,Vcr227,sRNA,NC_002506,7964,369,0.0,0.0,2,-,756446,756486,479980,480016,+,41,37,756148,756605,479951,480024,0.3891,0.0935,0.5329,0.1081,0.3767,0.8903,0.0,1.0,0.0,1.0
VC1497,CDS,NC_002505,Vcr043,sRNA,NC_002505,7571,16,0.0,0.0,2,-,1608689,1608731,1114683,1114720,+,43,37,1608510,1609212,1114592,1114750,0.3358,0.0696,0.4689,0.0851,0.7389,0.8149,0.0,1.0,0.0126,1.0
VC1051,5UTR,NC_002505,Vcr043,sRNA,NC_002505,7502,32,0.0,0.0,2,+,1121417,1121456,1114686,1114724,+,40,39,1121359,1121592,1114589,1114750,0.2757,0.0599,0.3684,0.0718,0.0,0.6011,0.0,0.9695,0.0,1.0
VC0036,CDS,NC_002505,Vcr043,sRNA,NC_002505,7489,29,0.0,0.0,2,-,35720,35765,1114671,1114708,+,46,38,34333,35851,1114593,1114750,0.3661,0.0961,0.4966,0.1143,0.0105,0.7415,0.0,0.9846,0.0189,1.0
VC0470,CDS,NC_002505,TfoR,sRNA,NC_002505,6767,40,0.0,0.0,2,-,499379,499413,2236651,2236699,+,35,49,498683,499457,2236579,2236712,0.2463,0.0829,0.301,0.1045,0.0767,0.9329,0.0,1.0,0.0077,1.0
VC0910,CDS,NC_002505,Spot42,sRNA,NC_002505,6579,18,0.0,0.0,2,+,969782,969824,106142,106179,+,42,37,969714,971270,106077,106188,0.4523,0.1689,0.6009,0.1923,0.0248,0.6083,0.0,1.0,0.0092,1.0
VC1865,CDS,NC_002505,VqmR,sRNA,NC_002506,6567,22,0.0,0.0,2,+,2005174,2005213,1031536,1031574,+,39,39,2004999,2006830,1031438,1031590,0.2701,0.0844,0.3734,0.1067,0.0499,0.6503,0.0,1.0,0.0,1.0
aphA,CDS,NC_002505,TfoR,sRNA,NC_002505,5501,15,1.7229939224663428e-119,1.0051578152985888e-116,2,+,2821514,2821554,2236668,2236705,+,41,37,2821309,2822039,2236588,2236720,0.3658,0.0684,0.4799,0.0838,0.0979,0.694,0.0,0.9981,0.0769,1.0
Qrr4,sRNA,NC_002506,aphA,5UTR,NC_002505,5141,11,0.0,0.0,2,-,908268,908306,2821426,2821462,+,40,37,908212,908311,2821309,2822093,0.2624,0.0607,0.3482,0.0698,0.3647,0.0,0.0,0.8952,0.0,1.0
aphA,CDS,NC_002505,GcvB,sRNA,NC_002505,4986,24,0.0,0.0,2,+,2821468,2821510,954742,954777,-,43,36,2821306,2822088,954716,954923,0.2778,0.0698,0.4176,0.0836,0.0166,0.8837,0.0,1.0,0.0,1.0
FarS,sRNA,NC_002505,rplQ,CDS,NC_002505,4920,95,0.0,0.0,2,-,2266098,2266131,2751366,2751406,-,34,42,2266015,2266142,2750852,2751527,0.575,0.0713,0.6252,0.0898,0.3092,0.2372,0.0,1.0,0.0,1.0
VC1034,CDS,NC_002505,Spot42,sRNA,NC_002505,4509,21,0.0,0.0,2,+,1100917,1100961,106141,106177,+,45,37,1100324,1101424,106075,106185,0.3775,0.1754,0.5797,0.2045,0.7316,0.5921,0.0,1.0,0.0,1.0
grxA,CDS,NC_002505,Vcr043,sRNA,NC_002505,4428,11,0.0,0.0,2,-,1217471,1217507,1114681,1114729,+,37,49,1217195,1217653,1114589,1114750,0.2462,0.0569,0.3338,0.0705,0.1448,0.8737,0.0,1.0,0.0,1.0
VC2545,CDS,NC_002505,Vcr043,sRNA,NC_002505,4096,8,0.0,0.0,2,+,2726049,2726088,1114672,1114710,+,41,39,2725986,2726607,1114587,1114749,0.3301,0.0632,0.4451,0.0745,0.014,0.5187,0.0,0.9925,0.0,1.0
VC0706,CDS,NC_002505,VadR,sRNA,NC_002506,3641,42,4.535720361954542e-90,2.0953668156072077e-87,2,-,756381,756423,3242,3277,+,43,36,756131,756604,3197,3286,0.3463,0.0989,0.5548,0.1857,0.5773,0.8996,0.0,1.0,0.0,1.0
VC2217,CDS,NC_002505,Vcr017,sRNA,NC_002505,3489,17,0.0,0.0,2,-,2374068,2374111,350282,350317,-,43,36,2371464,2374232,350273,350369,0.27,0.0708,0.3557,0.1032,0.0255,0.5425,0.0,1.0,0.0,1.0
aphA,5UTR,NC_002505,Qrr3,sRNA,NC_002506,3461,17,0.0,0.0,2,+,2821345,2821385,772293,772329,+,41,37,2821308,2822021,772256,772369,0.3317,0.0509,0.4421,0.0561,0.0,0.3317,0.0,0.9647,0.0,1.0
VC1043,CDS,NC_002505,FarS,sRNA,NC_002505,3361,23,0.0,0.0,2,-,1112751,1112785,2266025,2266074,-,35,50,1111540,1112909,2266014,2266139,0.2919,0.0735,0.4005,0.0851,0.0515,0.5122,0.0,0.993,0.0,1.0
zapA,CDS,NC_002505,Spot42,sRNA,NC_002505,3309,7,0.0,0.0,2,+,2657977,2658019,106143,106179,+,43,37,2657833,2658268,106075,106185,0.3545,0.1393,0.5533,0.1698,0.425,0.6132,0.0,1.0,0.0,1.0
VCA0059,CDS,NC_002506,VrrA,sRNA,NC_002505,3300,15,0.0,0.0,2,-,66759,66788,1878780,1878820,+,30,41,66495,66844,1878684,1878825,0.4312,0.0558,0.4842,0.0627,0.0603,0.9774,0.0,1.0,0.0,1.0
Vcr230,sRNA,NC_002506,Spot42,sRNA,NC_002505,3267,74,0.0,0.0,2,+,938002,938043,106144,106179,+,42,36,937991,938075,106090,106186,0.3545,0.1919,0.7009,0.236,0.675,0.6281,0.0,1.0,0.1284,1.0
VC0349,CDS,NC_002505,Spot42,sRNA,NC_002505,3267,12,0.0,0.0,2,+,371783,371815,106132,106180,+,33,49,371735,372941,106078,106185,0.4074,0.1139,0.4821,0.1365,0.0297,0.5179,0.0,0.9781,0.0183,1.0
VC2606,CDS,NC_002505,Spot42,sRNA,NC_002505,3195,20,0.0,0.0,2,-,2774836,2774877,106143,106178,+,42,36,2774800,2776434,106073,106186,0.3806,0.2097,0.5199,0.2394,0.9945,0.932,0.1077,1.0,0.0,1.0
rplL,CDS,NC_002505,TfoR,sRNA,NC_002505,3158,42,0.0,0.0,2,+,339881,339922,2236663,2236699,+,42,37,339736,340182,2236588,2236710,0.3141,0.0855,0.4272,0.1244,0.422,0.6563,0.0,1.0,0.0769,1.0
VCA0181,CDS,NC_002506,Vcr043,sRNA,NC_002505,2952,9,0.0,0.0,2,+,199458,199501,1114687,1114726,+,44,40,199377,200597,1114605,1114750,0.2967,0.0803,0.3994,0.0949,0.0402,0.6129,0.0,1.0,0.0943,1.0
sucA,CDS,NC_002505,Spot42,sRNA,NC_002505,2900,20,0.0,0.0,2,-,2248970,2249017,106137,106173,+,49,37,2246619,2249524,106073,106185,0.3334,0.1824,0.4662,0.2314,0.1744,0.8944,0.0,1.0,0.0,1.0
infB,CDS,NC_002505,Spot42,sRNA,NC_002505,2582,14,8.886176014893594e-171,6.612551951173816e-168,2,+,685853,685897,106141,106177,+,46,37,685313,688095,106077,106186,0.3687,0.1832,0.5837,0.2215,0.2079,0.5978,0.0,1.0,0.0092,1.0
Vcr216,sRNA,NC_002505,GcvB,sRNA,NC_002505,2419,4,0.0,0.0,2,-,2518882,2518923,954732,954768,-,41,37,2518784,2518942,954716,954923,0.3535,0.0682,0.4733,0.0794,0.3472,0.7538,0.0,1.0,0.0,1.0
VC1193,CDS,NC_002505,Vssrna24,sRNA,NC_002505,2386,3,0.0,0.0,2,-,1266576,1266610,106501,106537,+,35,36,1266360,1266645,106480,106545,0.2531,0.0465,0.2871,0.0536,0.0958,0.992,0.0,1.0,0.0,1.0
VC1337,CDS,NC_002505,Spot42,sRNA,NC_002505,2352,7,0.0,0.0,2,+,1420779,1420814,106137,106179,+,36,42,1420709,1421944,106076,106185,0.2258,0.128,0.3206,0.1603,0.0014,0.5629,0.0,0.9991,0.0,1.0
VC0911,CDS,NC_002505,Vcr017,sRNA,NC_002505,2340,12,0.0,0.0,2,+,971411,971454,350282,350318,-,43,36,971243,972985,350273,350369,0.2607,0.0658,0.3697,0.0782,0.0886,0.9199,0.0,0.9959,0.0,1.0
VC1449,5UTR,NC_002505,VC0410,CDS,NC_002505,2332,7,0.0,0.0,2,+,1549207,1549237,436332,436369,+,31,37,1549164,1549483,436278,436385,0.1827,0.0635,0.2178,0.0832,0.0,0.6357,0.0,0.5738,0.5246,0.7439
VC0706,CDS,NC_002505,Qrr2,sRNA,NC_002506,2318,12,5.258077810110001e-280,5.7869122997764e-277,2,-,756494,756536,48514,48549,+,43,36,756159,756608,48424,48558,0.3464,0.0518,0.4767,0.0582,0.2299,0.9616,0.0,1.0,0.2108,1.0
ptsG,CDS,NC_002505,TfoR,sRNA,NC_002505,2151,13,0.0,0.0,2,-,2167866,2167910,2236666,2236704,+,45,38,2166657,2168197,2236587,2236710,0.304,0.0674,0.4282,0.0828,0.1881,0.9665,0.0,0.9933,0.0692,1.0
VC0395,CDS,NC_002505,Qrr3,sRNA,NC_002506,2108,22,0.0,0.0,2,-,421462,421486,772298,772333,+,25,36,420653,421541,772256,772367,0.5451,0.0489,0.5517,0.0536,0.0527,0.7036,0.0,0.9771,0.0,1.0
