name1,type1,ref1,name2,type2,ref2,nb_chimeras,nb_multi,p_value,fdr,in_libs,strand1,left1,right1,left2,right2,strand2
MicX,sRNA,NC_002506,VC0972,5UTR,NC_002505,53388,124,0,0,2,-,893269,893521,1037714,1037906,+
VC0972,5UTR,NC_002505,MicX,sRNA,NC_002506,50451,60,0,0,2,+,1037723,1037908,893271,893612,-
Vssrna24,sRNA,NC_002505,Vcr229,sRNA,NC_002506,17157,249,0,0,2,+,106448,106571,897517,897770,+
VC2647,5UTR,NC_002505,Qrr2,sRNA,NC_002506,14278,57,0,0,2,+,2821310,2821518,48446,48518,+
Vssrna24,sRNA,NC_002505,Vcr076,sRNA,NC_002505,14038,66,0,0,2,+,106450,106566,2266011,2266168,-
VC0433:rplU,IGR,NC_002505,MicX,sRNA,NC_002506,14011,151,0,0,2,+,466287,466329,893283,893618,-
Vcr229,sRNA,NC_002506,Vssrna24,sRNA,NC_002505,11789,41,0,0,2,+,897524,897752,106441,106580,+
Vcr043,sRNA,NC_002505,VC0706,CDS,NC_002505,10549,68,0,0,2,+,1114588,1114750,756221,756591,-
Spot42,sRNA,NC_002505,Vcr083,sRNA,NC_002505,9658,9,0,0,2,+,106075,106185,2472390,2472576,+
Spot42,sRNA,NC_002505,VC1595,CDS,NC_002505,9383,31,0,0,2,+,106086,106186,1707068,1708220,-
Qrr1,sRNA,NC_002505,VC0395,CDS,NC_002505,8998,1107,0,0,2,-,1089962,1090059,420797,421530,-
Vcr076,sRNA,NC_002505,rplQ,CDS,NC_002505,8234,110,0,0,2,-,2266014,2266165,2751098,2751533,-
Vcr227,sRNA,NC_002506,VC0706,CDS,NC_002505,7932,66,0,0,2,+,479930,480024,756221,756598,-
Vcr043,sRNA,NC_002505,VC0731,3UTR,NC_002505,7800,19,0,0,2,+,1114583,1114750,786535,786687,-
Vcr043,sRNA,NC_002505,VC1497,CDS,NC_002505,7573,14,0,0,2,+,1114590,1114750,1608510,1609166,-
Vcr043,sRNA,NC_002505,VC1051,5UTR,NC_002505,7470,30,0,0,2,+,1114589,1114750,1121364,1121481,+
Spot42,sRNA,NC_002505,VCA0987,CDS,NC_002506,7017,10,0,0,2,+,106076,106186,938067,940405,+
TfoR,sRNA,NC_002505,VC0470,CDS,NC_002505,6707,9,0,0,2,+,2236587,2236712,498854,499453,-
Vcr043,sRNA,NC_002505,VC0036,5UTR,NC_002505,6571,24,0,0,2,+,1114593,1114750,35714,35903,-
Vcr227,sRNA,NC_002506,VCA0166,CDS,NC_002506,6507,11,0,0,2,+,479932,480027,184235,184490,+
VqmR,sRNA,NC_002506,VC1865,CDS,NC_002505,6352,20,0,0,2,+,1031439,1031590,2005113,2006668,+
Spot42,sRNA,NC_002505,VC0910,5UTR,NC_002505,5488,2,0,0,2,+,106079,106188,969714,969809,+
VC2647,5UTR,NC_002505,Qrr4,sRNA,NC_002506,4971,5,0,0,2,+,2821305,2821518,908212,908336,-
rplQ,CDS,NC_002505,Vcr076,sRNA,NC_002505,4738,30,0,0,2,-,2751110,2751527,2266016,2266166,-
TfoR,sRNA,NC_002505,Vcr229,sRNA,NC_002506,4714,122,2.29E-82,7.58E-80,2,+,2236588,2236729,897523,897770,+
TfoR,sRNA,NC_002505,VC2647,CDS,NC_002505,4708,11,0,0,2,+,2236590,2236711,2821479,2822039,+
Spot42,sRNA,NC_002505,VC0706,CDS,NC_002505,4584,52,4.76E-30,5.97E-28,2,+,106071,106185,756221,756591,-
Vcr227,sRNA,NC_002506,VCA0166,5UTR,NC_002506,4566,58,0,0,2,+,479924,480024,184115,184278,+
Spot42,sRNA,NC_002505,Vcr230,sRNA,NC_002506,4180,73,0,0,2,+,106077,106186,937991,938110,+
Vcr076,sRNA,NC_002505,Vssrna24,sRNA,NC_002505,3821,16,6.19E-120,2.85E-117,2,-,2266014,2266149,106438,106574,+
Spot42,sRNA,NC_002505,VC1034,CDS,NC_002505,3819,22,0,0,2,+,106075,106185,1100371,1101191,+
Vcr090,sRNA,NC_002506,VC0706,CDS,NC_002505,3556,43,0,0,2,+,3199,3286,756221,756591,-
VC0395,CDS,NC_002505,Qrr2,sRNA,NC_002506,3500,3490,0,0,2,-,420621,421508,48448,48517,+
Qrr3,sRNA,NC_002506,VC2647,5UTR,NC_002505,3467,64,0,0,2,+,772256,772369,2821284,2821520,+
GcvB,sRNA,NC_002505,VC2647,5UTR,NC_002505,3382,14,0,0,2,-,954716,954924,2821283,2821522,+
Vcr043,sRNA,NC_002505,VC2545,5UTR,NC_002505,3286,4,0,0,2,+,1114587,1114749,2725948,2726102,+
Qrr3,sRNA,NC_002506,Qrr2,sRNA,NC_002506,3254,3238,0,0,2,+,772263,772369,48393,48514,+
Spot42,sRNA,NC_002505,VC0349,CDS,NC_002505,3252,8,0,0,2,+,106078,106185,371737,372941,+
Spot42,sRNA,NC_002505,VC2606,CDS,NC_002505,3199,24,0,0,2,+,106073,106186,2774800,2776434,-
TfoR,sRNA,NC_002505,rplL,CDS,NC_002505,3197,54,0,0,2,+,2236588,2236710,339774,340144,+
Vcr043,sRNA,NC_002505,grxA,CDS,NC_002505,3029,0,0,0,2,+,1114589,1114750,1217234,1217531,-
