name1,type1,ref1,name2,type2,ref2,nb_ints,nb_multi,p_value,fdr,in_libs,strand1,meanleft1,meanright1,meanleft2,meanright2,strand2,relpos1,relpos2,length1,length2,minleft1,maxright1,minleft2,maxright2
VC2033,3UTR,NC_002505,Vcr069:VC1803,IGR,NC_002505,13851,154,0.0,0.0,2,-,2187568,2187605,1944193,1944228,+,0.1967,0.7023,38,35,2187551,2187639,1944140,1945254
Vcr043,sRNA,NC_002505,VC0731,3UTR,NC_002505,13401,183,0.0,0.0,2,+,1114617,1114659,786558,786593,-,0.8248,0.4316,42,35,1114588,1114749,786545,786682
VC2033,3UTR,NC_002505,Vcr203,sRNA,NC_002505,4891,95,0.0,0.0,2,-,2187568,2187600,606844,606869,+,0.1951,0.2556,33,25,2187550,2187637,606795,606918
Vcr203,sRNA,NC_002505,VC2033,3UTR,NC_002505,4255,77,0.0,0.0,2,+,606838,606870,2187568,2187595,-,0.8242,0.0882,32,27,606786,606935,2187546,2187636
VC2142,5UTR,NC_002505,FlaX,sRNA,NC_002505,2751,6,0.0,0.0,2,-,2297453,2297494,2334454,2334488,-,0.6252,0.756,42,35,2297404,2297522,2334422,2334712
VC2187,5UTR,NC_002505,Vcr078,sRNA,NC_002505,2261,25,0.0,0.0,2,-,2334143,2334179,2332970,2333009,-,0.8329,0.501,36,40,2334084,2334370,2332923,2333131
Vcr069:VC1803,IGR,NC_002505,VC2033,3UTR,NC_002505,2170,19,0.0,0.0,2,+,1944162,1944204,2187567,2187597,-,0.7145,0.0782,43,31,1944140,1945136,2187549,2187633
VC0327,CDS,NC_002505,VqmR,sRNA,NC_002506,1964,23,0.0,0.0,2,+,339945,339987,1031539,1031575,+,0.5136,0.083,42,36,339749,340155,1031448,1031590
VC2033,CDS,NC_002505,Vcr203,sRNA,NC_002505,1757,10,0.0,0.0,2,-,2187835,2187884,606841,606868,+,0.9191,0.274,50,27,2187593,2190294,606810,606918
VC0327,CDS,NC_002505,Vcr089,sRNA,NC_002505,1662,5,0.0,0.0,2,+,340066,340109,2812096,2812118,-,0.1823,0.6532,44,23,339781,340155,2812075,2812165
