name1,type1,ref1,name2,type2,ref2,nb_chimeras,nb_multi,p_value,fdr,in_libs,strand1,left1,right1,left2,right2,strand2
Vcr078,sRNA,NC_002505,VC2187,5UTR,NC_002505,17101,180,0.0,0.0,2,-,2332923,2333131,2334080,2334260,-
Vcr036,sRNA,NC_002505,GcvB,sRNA,NC_002505,11604,160,0.0,0.0,2,-,840377,840505,954716,954924,-
VC0731,3UTR,NC_002505,Vcr043,sRNA,NC_002505,5785,50,0.0,0.0,2,-,786546,786682,1114588,1114749,+
VC2187,5UTR,NC_002505,Vcr078,sRNA,NC_002505,5506,74,0.0,0.0,2,-,2334087,2334198,2332928,2333139,-
FlaX,sRNA,NC_002505,VC2142,5UTR,NC_002505,3818,11,0.0,0.0,2,-,2334412,2334709,2297404,2297515,-
VC1786:VC1803,IGR,NC_002505,VC2033,3UTR,NC_002505,3606,31,0.0,0.0,2,+,1944143,1944276,2187550,2187636,-
Vcr203,sRNA,NC_002505,VC2033,3UTR,NC_002505,2140,19,0.0,0.0,2,+,606796,606918,2187551,2187634,-
sucA,CDS,NC_002505,VC2086,CDS,NC_002505,2080,88,0.0,0.0,2,-,2246620,2249473,2245387,2246656,-
VC2086,CDS,NC_002505,sucA,CDS,NC_002505,1786,83,0.0,0.0,2,-,2245390,2246651,2246626,2249478,-
VC0406,CDS,NC_002505,VC0405,CDS,NC_002505,1518,80,0.0,0.0,2,+,433089,434349,431360,433121,+
VC0405,CDS,NC_002505,VC0404,CDS,NC_002505,1302,90,0.0,0.0,2,+,431375,433122,430212,431401,+
VC0405,CDS,NC_002505,VC0406,CDS,NC_002505,1281,50,0.0,0.0,2,+,431368,433121,433092,434355,+
VC0404,CDS,NC_002505,VC0405,CDS,NC_002505,1198,82,0.0,0.0,2,+,430209,431387,431359,433127,+
Vcr036,sRNA,NC_002505,Vcr078,sRNA,NC_002505,1192,27,1.1963484563864354e-171,2.2810519657536653e-168,2,-,840377,840463,2332934,2333133,-
Vcr045,sRNA,NC_002505,Vcr078,sRNA,NC_002505,1160,23,0.0,0.0,2,+,1164262,1164326,2332923,2333129,-
glgA,CDS,NC_002505,glgC,CDS,NC_002505,1067,41,0.0,0.0,2,-,1863860,1865348,1865315,1866572,-
Vcr078,sRNA,NC_002505,VC2187,CDS,NC_002505,1055,168,0.0,0.0,2,-,2332923,2333135,2333097,2334118,-
