name1,type1,ref1,name2,type2,ref2,nb_ints,p_value,fdr,in_libs,strand1,meanleft1,meanright1,meanleft2,meanright2,strand2,meanlength1,meanlength2,minleft1,maxright1,minleft2,maxright2,nms1,nms2,meanmiss1,meanmiss2,relmean1,relmean2,relmin1,relmax1,relmin2,relmax2
MicX,sRNA,NC_002506,VC0972,5UTR,NC_002505,52195,0,0,2,-,893376,893417,1037828,1037864,+,41,37,893270,893612,1037723,1038963,0.4586,0.1312,0.6538,0.1425,0.6984,0,0.0117,1,0,1
VC0972,5UTR,NC_002505,MicX,sRNA,NC_002506,52185,0,0,2,+,1037792,1037834,893313,893348,-,43,36,1037714,1038985,893269,893521,0.2582,0.2467,0.3571,0.2846,0,0.8845,0,1,0.277,1
Vcr229,sRNA,NC_002506,Vssrna24,sRNA,NC_002505,17074,0,0,2,+,897559,897602,106501,106536,+,44,36,897517,897748,106448,106553,0.4189,0.0699,0.5548,0.0775,0.3786,0.3611,0,1,0,1
MicX,sRNA,NC_002506,VC0435,5UTR,NC_002505,14839,0,0,2,-,893367,893451,466304,466323,+,85,20,893271,893618,466287,466589,0.388,0.0611,0.5798,0.0622,0.7274,0,0,1,0,0.4502
Qrr2,sRNA,NC_002506,VC2647,5UTR,NC_002505,14500,0,0,2,+,48449,48489,2821423,2821459,+,41,36,48446,48518,2821310,2821946,0.2823,0.0595,0.375,0.0683,0.6012,0,0.3434,0.7771,0,0.8256
FarS,sRNA,NC_002505,Vssrna24,sRNA,NC_002505,13982,0,0,2,-,2266089,2266125,106501,106537,+,37,36,2266011,2266140,106450,106555,0.5763,0.0649,1.1138,0.0736,0.3856,0.9944,0,1,0,1
Vssrna24,sRNA,NC_002505,Vcr229,sRNA,NC_002506,11728,0,0,2,+,106484,106519,897649,897688,+,36,40,106441,106554,897524,897738,0.1555,0.2043,0.2013,0.4911,0.6792,0.6119,0,1,0,1
VCA0166,CDS,NC_002506,Vcr227,sRNA,NC_002506,11004,0,0,2,+,184255,184290,479975,480014,+,35,40,184115,184514,479951,480027,0.4023,0.0871,0.4964,0.0986,0.1547,0.2603,0,1,0,1
VC0706,CDS,NC_002505,Vcr043,sRNA,NC_002505,10834,0,0,2,-,756356,756397,1114688,1114724,+,42,38,756163,756604,1114593,1114750,0.3622,0.0787,0.5229,0.0905,0.6528,0.8448,0,1,0.0189,1
Vcr083,sRNA,NC_002505,Spot42,sRNA,NC_002505,9755,0,0,2,+,2472442,2472482,106129,106169,+,41,41,2472390,2472576,106075,106185,0.4231,0.1602,0.8975,0.2084,0.3998,0.4885,0,0.8821,0,1
VC0731,3UTR,NC_002505,Vcr043,sRNA,NC_002505,9575,0,0,2,-,786629,786669,1114693,1114731,+,41,39,786535,787343,1114583,1114750,0.3559,0.081,0.4817,0.0937,1,0.8863,0,1,0,1
VC1595,CDS,NC_002505,Spot42,sRNA,NC_002505,9384,0,0,2,-,1708116,1708154,106145,106180,+,39,36,1707068,1708220,106086,106186,0.3119,0.1668,0.3945,0.2454,0.0707,0.9562,0,0.9318,0.0917,1
VC0395,CDS,NC_002505,Qrr1,sRNA,NC_002505,9041,0,0,2,-,421464,421488,1089969,1090043,-,24,75,420797,421542,1089962,1090062,0.5455,0.0408,0.5471,0.0535,0.0498,0.1602,0,0.8126,0,1
VC2570,CDS,NC_002505,FarS,sRNA,NC_002505,8069,0,0,2,-,2751389,2751429,2266026,2266063,-,41,39,2750951,2751533,2266014,2266141,0.3293,0.0813,0.4857,0.0908,0.2815,0.6054,0,1,0,1
VCA0987,CDS,NC_002506,Spot42,sRNA,NC_002505,7980,0,0,2,+,938109,938149,106145,106179,+,41,36,938018,940405,106076,106186,0.3231,0.2071,0.4351,0.2624,0.0265,0.6294,0,0.9623,0,1
VC0706,CDS,NC_002505,Vcr227,sRNA,NC_002506,7964,0,0,2,-,756446,756486,479980,480016,+,41,37,756148,756605,479951,480024,0.3891,0.0935,0.5329,0.1081,0.3767,0.8903,0,1,0,1
VC1497,CDS,NC_002505,Vcr043,sRNA,NC_002505,7571,0,0,2,-,1608689,1608731,1114683,1114720,+,43,37,1608510,1609212,1114592,1114750,0.3358,0.0696,0.4689,0.0851,0.7389,0.8149,0,1,0.0126,1
VC1051,5UTR,NC_002505,Vcr043,sRNA,NC_002505,7502,0,0,2,+,1121417,1121456,1114686,1114724,+,40,39,1121359,1121592,1114589,1114750,0.2757,0.0599,0.3684,0.0718,0,0.6011,0,0.9695,0,1
VC0036,CDS,NC_002505,Vcr043,sRNA,NC_002505,7489,0,0,2,-,35720,35765,1114671,1114708,+,46,38,34333,35851,1114593,1114750,0.3661,0.0961,0.4966,0.1143,0.0105,0.7415,0,0.9846,0.0189,1
VC0470,CDS,NC_002505,TfoR,sRNA,NC_002505,6767,0,0,2,-,499379,499413,2236651,2236699,+,35,49,498683,499457,2236579,2236712,0.2463,0.0829,0.301,0.1045,0.0767,0.9329,0,1,0.0077,1
VC0910,CDS,NC_002505,Spot42,sRNA,NC_002505,6579,0,0,2,+,969782,969824,106142,106179,+,42,37,969714,971270,106077,106188,0.4523,0.1689,0.6009,0.1923,0.0248,0.6083,0,1,0.0092,1
VC1865,CDS,NC_002505,VqmR,sRNA,NC_002506,6567,0,0,2,+,2005174,2005213,1031536,1031574,+,39,39,2004999,2006830,1031438,1031590,0.2701,0.0844,0.3734,0.1067,0.0499,0.6503,0,1,0,1
