name1,type1,ref1,name2,type2,ref2,nb_chimeras,nb_multi,p_value,fdr,in_libs,strand1,left1,right1,left2,right2,strand2,relpos1,relpos2
Vcr078,sRNA,NC_002505,VC2187,5UTR,NC_002505,17101,180,0.0,0.0,2,-,2332923,2333131,2334080,2334260,-,1.0,0.0
Vcr036,sRNA,NC_002505,GcvB,sRNA,NC_002505,11604,160,0.0,0.0,2,-,840377,840505,954716,954924,-,1.0,0.0
VC0731,3UTR,NC_002505,Vcr043,sRNA,NC_002505,5785,49,0.0,0.0,2,-,786546,786682,1114588,1114749,+,0.7987,0.0
VC2187,5UTR,NC_002505,Vcr078,sRNA,NC_002505,5506,74,0.0,0.0,2,-,2334087,2334198,2332928,2333139,-,1.0,0.0
FlaX,sRNA,NC_002505,VC2142,5UTR,NC_002505,3818,11,0.0,0.0,2,-,2334412,2334709,2297404,2297515,-,1.0,0.2393
VC1786:VC1803,IGR,NC_002505,VC2033,3UTR,NC_002505,3606,31,0.0,0.0,2,+,1944143,1944276,2187550,2187636,-,0.6669,0.0
Vcr203,sRNA,NC_002505,VC2033,3UTR,NC_002505,2140,19,0.0,0.0,2,+,606796,606918,2187551,2187634,-,1.0,0.0
sucA,CDS,NC_002505,VC2086,CDS,NC_002505,2080,87,0.0,0.0,2,-,2246620,2249473,2245387,2246656,-,1.0,0.0
VC2086,CDS,NC_002505,sucA,CDS,NC_002505,1786,82,0.0,0.0,2,-,2245390,2246651,2246626,2249478,-,1.0,0.0
VC0406,CDS,NC_002505,VC0405,CDS,NC_002505,1518,79,0.0,0.0,2,+,433089,434349,431360,433121,+,1.0,0.0
VC0405,CDS,NC_002505,VC0404,CDS,NC_002505,1302,88,0.0,0.0,2,+,431375,433122,430212,431401,+,1.0,0.0
VC0405,CDS,NC_002505,VC0406,CDS,NC_002505,1281,50,0.0,0.0,2,+,431368,433121,433092,434355,+,1.0,0.0
VC0404,CDS,NC_002505,VC0405,CDS,NC_002505,1198,82,0.0,0.0,2,+,430209,431387,431359,433127,+,1.0,0.0
Vcr036,sRNA,NC_002505,Vcr078,sRNA,NC_002505,1192,27,3.2255060456190316e-188,6.690882224163932e-185,2,-,840377,840463,2332934,2333133,-,1.0,0.0
Vcr045,sRNA,NC_002505,Vcr078,sRNA,NC_002505,1160,23,0.0,0.0,2,+,1164262,1164326,2332923,2333129,-,1.0,0.0
glgA,CDS,NC_002505,glgC,CDS,NC_002505,1067,41,0.0,0.0,2,-,1863860,1865348,1865315,1866572,-,1.0,0.0
Vcr078,sRNA,NC_002505,VC2187,CDS,NC_002505,1055,166,0.0,0.0,2,-,2332923,2333135,2333097,2334118,-,1.0,0.0
glgC,CDS,NC_002505,glgA,CDS,NC_002505,1048,32,0.0,0.0,2,-,1865317,1866565,1863856,1865344,-,1.0,0.0
VC2142,5UTR,NC_002505,FlaX,sRNA,NC_002505,978,8,0.0,0.0,2,-,2297409,2297545,2334425,2334706,-,1.0,0.0
sucA,CDS,NC_002505,sucC,CDS,NC_002505,936,52,0.0,0.0,2,-,2246620,2249470,2244057,2245255,-,1.0,0.0
sucC,CDS,NC_002505,sucA,CDS,NC_002505,818,27,0.0,0.0,2,-,2244059,2245255,2246619,2249478,-,1.0,0.0
Vcr045,sRNA,NC_002505,VC0745,3UTR,NC_002505,794,109,0.0,0.0,2,+,1164242,1164326,798740,798832,-,1.0,0.0
VC1872,CDS,NC_002505,VC1873,CDS,NC_002505,774,25,0.0,0.0,2,+,2014950,2016902,2017019,2018325,+,1.0,0.0
Vcr078,sRNA,NC_002505,VC0745,3UTR,NC_002505,761,19,7.020476002981577e-127,8.04094310689963e-124,2,-,2332923,2333131,798770,798825,-,1.0,0.0
FlaX,sRNA,NC_002505,VC2143,5UTR,NC_002505,751,11,0.0,0.0,2,-,2334422,2334689,2298774,2298873,-,1.0,0.4583
Vcr045,sRNA,NC_002505,VC2041,3UTR,NC_002505,735,15,0.0,0.0,2,+,1164273,1164326,2199242,2199320,+,1.0,0.4429
VCA0116,CDS,NC_002506,VCA0117,CDS,NC_002506,703,25,0.0,0.0,2,+,126156,128800,128767,130377,+,1.0,0.0
VC0249,CDS,NC_002505,VC0250,CDS,NC_002505,689,72,0.0,0.0,2,+,254737,256124,256166,257316,+,0.9689,0.0
sucC,CDS,NC_002505,VC2084,CDS,NC_002505,677,56,0.0,0.0,2,-,2244074,2245252,2243183,2244079,-,0.9991,0.0
VC1873,CDS,NC_002505,VC1872,CDS,NC_002505,672,45,0.0,0.0,2,+,2017023,2018325,2014954,2016882,+,1.0,0.0
TarB,sRNA,NC_002505,VC1663,3UTR,NC_002505,667,6,0.0,0.0,2,-,911232,911308,1795232,1795317,+,1.0,0.0
VC2033,3UTR,NC_002505,Vcr017,sRNA,NC_002505,653,0,0.0,0.0,2,-,2187551,2187624,350276,350369,-,0.443,0.0
VC0583,3UTR,NC_002505,Vcr078,sRNA,NC_002505,644,17,2.2440087042348593e-82,1.5402232243372005e-79,2,-,612525,612581,2332935,2333138,-,0.2685,0.0
VCA0117,CDS,NC_002506,VCA0116,CDS,NC_002506,603,26,0.0,0.0,2,+,128775,130378,126160,128801,+,0.9975,0.0
sucA,CDS,NC_002505,sdhA,CDS,NC_002505,600,28,0.0,0.0,2,-,2246643,2249478,2250259,2252056,-,1.0,0.0
VCA1094,CDS,NC_002506,VCA1092,CDS,NC_002506,593,39,0.0,0.0,2,-,1049728,1050282,1047208,1049287,-,1.0,0.0
GcvB,sRNA,NC_002505,VC1874,CDS,NC_002505,588,14,0.0,0.0,2,-,954717,954922,2018347,2019890,+,1.0,0.0187
FlaX,sRNA,NC_002505,Vcr078,sRNA,NC_002505,577,25,8.77631739277699e-22,1.757551110763974e-19,2,-,2334399,2334705,2332933,2333135,-,1.0,0.0
VC2084,CDS,NC_002505,sucC,CDS,NC_002505,575,55,0.0,0.0,2,-,2243184,2244061,2244074,2245254,-,1.0,0.0
sdhA,CDS,NC_002505,sucA,CDS,NC_002505,573,25,9.397678742421362e-298,3.834930792259828e-294,2,-,2250257,2252045,2246628,2249478,-,1.0,0.0
VCA1095,CDS,NC_002506,VCA1092,CDS,NC_002506,568,30,0.0,0.0,2,-,1050262,1052459,1047222,1049292,-,1.0,0.0
VCA1092,CDS,NC_002506,VCA1095,CDS,NC_002506,563,33,0.0,0.0,2,-,1047231,1049293,1050252,1052467,-,1.0,0.0
