name1,type1,ref1,name2,type2,ref2,nb_ints,p_value,fdr,in_libs,strand1,meanleft1,meanright1,meanleft2,meanright2,strand2,meanlength1,meanlength2,minleft1,maxright1,minleft2,maxright2,nms1,nms2,meanmiss1,meanmiss2,relmean1,relmean2,relmin1,relmax1,relmin2,relmax2
Vcr222,sRNA,NC_002505,OppZ,sRNA,NC_002505,92444,0,0,2,-,2783843,2783878,1164284,1164320,+,36,37,2783832,2783928,1164257,1164328,0.3127,0.0748,0.7192,0.0917,0.9598,0.9045,0,1,0,1
FarS,sRNA,NC_002505,Vssrna24,sRNA,NC_002505,73559,0,0,2,-,2266087,2266123,106501,106536,+,37,36,2266011,2266139,106452,106554,0.536,0.0588,1.2008,0.0645,0.4018,0.9851,0,1,0,1
Vcr229,sRNA,NC_002506,Vssrna24,sRNA,NC_002505,19787,0,0,2,+,897575,897618,106502,106536,+,44,36,897499,897747,106480,106550,0.4034,0.0592,0.5336,0.0648,0.456,0.3667,0,1,0,1
VC0734,CDS,NC_002505,Vcr001,sRNA,NC_002505,15579,0,0,2,+,789070,789106,21904,21939,+,37,37,788877,790653,21897,21941,0.372,0.0566,0.7436,0.0612,0.0938,0.0654,0,1,0,1
MicX,sRNA,NC_002506,VC0972,5UTR,NC_002505,11725,0,0,2,-,893378,893417,1037828,1037865,+,40,38,893270,893520,1037762,1038926,0.4729,0.1298,0.6478,0.1412,0.6952,0,0.2799,1,0,0.9867
Vcr025,sRNA,NC_002505,VadR,sRNA,NC_002506,11502,0,0,2,+,522668,522711,3245,3280,+,44,35,522631,522721,3208,3288,0.4923,0.1086,0.6494,0.2434,0.9441,0.5229,0,1,0.0723,1
Vssrna24,sRNA,NC_002505,Vcr229,sRNA,NC_002506,9294,3.06257670789881E-42,6.0272551698041E-40,2,+,106485,106520,897648,897687,+,36,40,106477,106551,897521,897741,0.1521,0.2045,0.2013,0.6102,0.7022,0.6056,0,1,0,1
VC0549,CDS,NC_002505,Vcr001,sRNA,NC_002505,9254,0,0,2,+,582449,582492,21904,21939,+,44,35,582145,582652,21894,21943,0.4292,0.0911,0.8466,0.0966,0.5199,0.0789,0,1,0,1
VC0972,5UTR,NC_002505,MicX,sRNA,NC_002506,8607,0,0,2,+,1037794,1037836,893323,893358,-,42,37,1037755,1038970,893270,893570,0.253,0.2389,0.3455,0.2761,0,0.8548,0,1,0.1341,1
VC0573,CDS,NC_002505,Vcr001,sRNA,NC_002505,6133,0,0,2,+,604218,604261,21904,21939,+,44,36,604126,604818,21895,21942,0.6255,0.0478,2.8466,0.0523,0.0711,0.0764,0,1,0,1
VCA0059,CDS,NC_002506,VrrA,sRNA,NC_002505,4396,0,0,2,-,66770,66797,1878779,1878821,+,27,42,66517,66844,1878685,1878825,0.3694,0.0405,0.3824,0.0423,0.0144,0.9822,0,1,0.0072,1
VC1091,CDS,NC_002505,Vcr001,sRNA,NC_002505,3683,0,0,2,+,1159641,1159686,21904,21939,+,45,36,1158585,1160336,21898,21941,0.3448,0.0804,0.577,0.0836,0.6239,0.0831,0,1,0,1
VC2086,CDS,NC_002505,Vcr001,sRNA,NC_002505,3636,0,0,2,-,2245913,2245958,21904,21939,+,46,36,2245304,2246656,21898,21943,0.3223,0.0996,0.4818,0.1064,0.5834,0.9454,0,1,0,1
VC1337,5UTR,NC_002505,Spot42,sRNA,NC_002505,3254,0,0,2,+,1420775,1420809,106138,106179,+,35,42,1420704,1422002,106080,106185,0.2191,0.1073,0.2975,0.1238,0,0.5681,0,1,0.0367,1
VCA1097,CDS,NC_002506,VqmR,sRNA,NC_002506,3055,0,0,2,-,1052924,1052966,1031530,1031567,+,43,38,1052841,1053183,1031444,1031590,0.3038,0.092,0.4226,0.1293,0.7884,0.859,0,1,0.04,1
VC1461,5UTR,NC_002505,Vcr096,sRNA,NC_002506,3031,0,0,2,-,1571253,1571297,243938,243973,-,44,36,1571241,1571305,243935,243983,0.3606,0.0465,0.4705,0.0521,0,0.2682,0,0,0.06,1
Vcr103,sRNA,NC_002506,Qrr3,sRNA,NC_002506,2774,0,0,2,-,776890,776925,772302,772337,+,36,36,776854,776969,772265,772369,0.3353,0.0598,0.3825,0.0707,0.5382,0.7413,0,0.7862,0.0654,1
VC1872,CDS,NC_002505,FarS,sRNA,NC_002505,2446,2.20329490688022E-212,1.83506263568314E-209,2,+,2015993,2016029,2266025,2266064,-,37,40,2014898,2016926,2266012,2266138,0.2212,0.0621,0.3029,0.0666,0.5555,0.933,0,1,0,1
VC1898,CDS,NC_002505,Vssrna24,sRNA,NC_002505,2438,0,0,2,+,2044483,2044521,106501,106537,+,39,37,2044421,2046115,106480,106539,0.276,0.0546,0.3622,0.0615,0.0132,0.3498,0,0.8033,0,1
VC0583,5UTR,NC_002505,Qrr3,sRNA,NC_002506,2082,0,0,2,-,613188,613231,772313,772348,+,44,36,612528,613256,772269,772369,0.4606,0.0471,0.611,0.0548,0,0.8391,0,1,0.1028,1
VC1149,5UTR,NC_002505,Vcr001,sRNA,NC_002505,2008,0,0,2,-,1221984,1222005,21904,21939,+,22,36,1220129,1222030,21898,21941,0.0473,0.1011,0.0488,0.1066,0,0.9503,0,1,0,1
Vcr229,sRNA,NC_002506,Vcr228,sRNA,NC_002506,1808,0,0,2,+,897565,897609,787374,787410,+,44,37,897514,897743,787264,787432,0.427,0.0913,0.5498,0.1112,0.4096,0.6552,0,1,0,1
VC2469,CDS,NC_002505,Vcr017,sRNA,NC_002505,1755,0,0,2,+,2650202,2650239,350283,350318,-,38,37,2650071,2651942,350273,350368,0.2769,0.0963,0.3903,0.1402,0.0201,0.9181,0,1,0,1
VC0328,3UTR,NC_002505,Vcr017,sRNA,NC_002505,1721,0,0,2,+,344435,344459,350276,350320,-,26,44,342902,344466,350274,350367,0.7298,0.0145,0.7333,0.0203,1,0.9875,0.6281,1,0,1
VC1043,CDS,NC_002505,FarS,sRNA,NC_002505,1608,7.310744748111E-198,5.59642886015506E-195,2,-,1112755,1112788,2266025,2266075,-,34,51,1111552,1112907,2266014,2266137,0.24,0.0572,0.3153,0.0622,0.0482,0.5037,0,0.9837,0,1
VC0348,CDS,NC_002505,Vcr001,sRNA,NC_002505,1603,0,0,2,+,370638,370680,21904,21939,+,43,35,370414,371745,21899,21941,0.35,0.1566,0.5153,0.1634,0.1824,0.085,0,1,0,1
VC0305,CDS,NC_002505,VqmR,sRNA,NC_002506,1564,0,0,2,-,316618,316659,1031540,1031579,+,42,40,316357,317569,1031443,1031589,0.4776,0.0799,0.7935,0.0934,0.7915,0.9368,0.0691,0.9901,0.0333,1
VC0567,CDS,NC_002505,Vcr001,sRNA,NC_002505,1562,0,0,2,-,601520,601552,21904,21939,+,33,36,601233,601632,21897,21942,0.2292,0.0512,0.2612,0.0583,0.1226,0.9424,0,0.7803,0,1
