name1,type1,ref1,name2,type2,ref2,nb_ints,nb_multi,p_value,fdr,in_libs,strand1,meanleft1,meanright1,meanleft2,meanright2,strand2,meanlength1,meanlength2,minleft1,maxright1,minleft2,maxright2,nms1,nms2,meanmiss1,meanmiss2,relmean1,relmean2,relmin1,relmax1,relmin2,relmax2
tuf2,CDS,NC_002505,tuf,CDS,NC_002505,45,0,3.7115167821371136e-36,6.895998181210757e-33,2,+,382324,382368,336146,336180,+,44,35,381697,382947,335454,336561,0.3111,0.0889,0.4,0.1111,0.5133,0.6927,0.0,1.0,0.1081,1.0
tuf,CDS,NC_002505,tuf2,CDS,NC_002505,41,0,6.348635641083219e-31,7.863843347421748e-28,2,+,335680,335724,382414,382449,+,45,36,335157,336517,381872,383006,0.3415,0.0732,0.4634,0.0732,0.3361,0.5527,0.0,1.0,0.0946,1.0
VC0255,CDS,NC_002505,VC0258,CDS,NC_002505,20,0,2.6977416146579805e-50,1.0024807840069055e-46,2,+,262204,262245,263599,263636,+,42,38,262098,262290,263546,263683,0.4,0.1,0.5,0.1,0.6647,0.2238,0.0,0.8688,0.1577,0.3292
Vcr083,sRNA,NC_002505,Spot42,sRNA,NC_002505,11,0,1.6304132294083906e-15,1.211723112096316e-12,2,+,2472438,2472482,106107,106142,+,44,36,2472424,2472502,106087,106183,0.6364,0.1818,1.0909,0.1818,0.3981,0.2827,0.1026,0.5026,0.1009,0.9817
VC0972,5UTR,NC_002505,MicX,sRNA,NC_002506,10,0,1.0287885248653577e-13,6.37163026399945e-11,2,+,1037802,1037840,893367,893408,-,39,42,1037782,1037869,893289,893511,0.0,0.2,0.0,0.2,0.0,0.7265,0.0,0.0,0.3061,0.9534
MicX,sRNA,NC_002506,VC0972,5UTR,NC_002505,8,0,3.1322697940950296e-10,9.699595462380943e-8,2,-,893356,893392,1037826,1037857,+,37,32,893284,893460,1037782,1037874,0.375,0.0,0.875,0.0,0.7591,0.0,0.4548,0.9679,0.0,0.0
VC1343,CDS,NC_002505,VCA0482:VCA0503,IGR,NC_002506,8,0,3.680241851678845e-19,3.4189446802096473e-16,2,-,1429953,1429997,428806,428839,-,45,34,1429906,1430064,428804,428841,0.25,0.75,0.375,1.0,0.9832,0.3953,0.8825,1.0,0.3951,0.3988
VC0361,CDS,NC_002505,tuf,CDS,NC_002505,7,0,3.131322386134071e-5,0.0006255910745631294,2,+,381494,381536,335503,335538,+,43,36,381375,381648,335376,335888,0.1429,0.0,0.1429,0.0,0.9516,0.1493,0.875,1.0,0.0422,0.4747
FarS,sRNA,NC_002505,Vssrna24,sRNA,NC_002505,6,0,6.944427643163662e-5,0.0011676693720360258,1,-,2266097,2266134,106501,106536,+,38,36,2266089,2266135,106497,106538,0.8333,0.0,1.1667,0.0,0.3162,0.9851,0.0,0.3846,0.2857,1.0
rpsJ,CDS,NC_002505,rplD,CDS,NC_002505,5,0,3.533394420015865e-7,2.47737616316584e-5,1,-,2764720,2764764,2763314,2763339,-,45,26,2764674,2764949,2763281,2763482,0.2,0.0,0.2,0.0,0.1955,0.7811,0.0,0.3441,0.5432,0.8771
Vcr043,sRNA,NC_002505,tmRNA,CDS,NC_002505,5,0,0.0025954204027316724,0.008401774863635941,2,+,1114659,1114699,914361,914396,-,40,36,1114631,1114728,914291,914593,1.0,0.2,1.4,0.8,0.683,0.7434,0.2579,0.8679,0.178,0.9146
