name1,type1,ref1,name2,type2,ref2,nb_ints,nb_multi,p_value,fdr,in_libs,strand1,meanleft1,meanright1,meanleft2,meanright2,strand2,length1,length2,minleft1,maxright1,minleft2,maxright2,relmean1,relmean2,relmin1,relmin2,relmax1,relmax2
chiP,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,203687,181,0.0,0.0,3,+,708279,708311,507248,507282,+,32,34,708087,709772,507179,507290,0.0,0.5381,0.0,0.0,1.0,1.0
gltI,CDS,NC_000913.3,gcvB,ncRNA,NC_000913.3,56699,61,0.0,0.0,3,-,686781,686817,2942847,2942877,+,37,31,686659,687757,2942693,2942912,1.0,0.7404,1.0,0.0,0.0,1.0
gcvB,ncRNA,NC_000913.3,gltI,CDS,NC_000913.3,49773,112,0.0,0.0,3,+,2942787,2942818,686694,686726,-,32,33,2942660,2942912,686654,687765,0.6024,1.0,0.0,1.0,1.0,0.0
sstT,CDS,NC_000913.3,gcvB,ncRNA,NC_000913.3,31872,38,0.0,0.0,3,+,3239882,3239919,2942785,2942817,+,37,33,3239807,3241261,2942691,2942903,0.0,0.4365,0.0,0.0,1.0,1.0
hupB,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,22975,46,0.0,0.0,3,+,461446,461475,507245,507277,+,29,32,461328,461819,507179,507296,0.0907,0.4951,0.0,0.0,1.0,1.0
glmU,CDS,NC_000913.3,glmZ,ncRNA,NC_000913.3,16912,6,0.0,0.0,3,-,3913718,3913755,3986580,3986607,+,38,28,3913650,3915191,3986433,3986622,1.0,0.8682,1.0,0.0058,0.0066,1.0
glmU,CDS,NC_000913.3,glmZ:cyaA,IGR,NC_000913.3,16697,8,0.0,0.0,3,-,3913719,3913756,3986595,3986625,+,38,30,3913650,3915142,3986587,3986641,1.0,0.0,1.0,0.0,0.0423,0.0086
dkgB,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,15119,2,0.0,0.0,3,+,228959,228995,507240,507273,+,37,33,228879,230041,507197,507289,0.0,0.4448,0.0,0.0,1.0,1.0
lysP,CDS,NC_000913.3,ryhB,ncRNA,NC_000913.3,15097,17,0.0,0.0,3,-,2246852,2246889,3580951,3580977,-,37,26,2246755,2247059,3580923,3581019,1.0,0.7223,1.0,1.0,1.0,0.0
ubiX,CDS,NC_000913.3,gcvB,ncRNA,NC_000913.3,14837,12,0.0,0.0,3,-,2427832,2427867,2942795,2942829,+,36,34,2427773,2428625,2942694,2942902,1.0,0.4878,1.0,0.0,0.0018,1.0
dnaQ,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,14267,1,0.0,0.0,3,+,236962,236998,507240,507273,+,37,33,236037,237048,507202,507288,1.0,0.4457,0.0,0.0,1.0,1.0
yncE,CDS,NC_000913.3,ryhB,ncRNA,NC_000913.3,13134,28,0.0,0.0,3,+,1523284,1523320,3580951,3580975,-,36,25,1523173,1524596,3580924,3581018,0.0124,0.7291,0.0,1.0,1.0,0.0
chbB,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,13066,38,0.0,0.0,3,-,1821270,1821299,507248,507282,+,29,34,1821202,1821638,507199,507293,0.9991,0.5382,1.0,0.0,0.0,1.0
rbsD,CDS,NC_000913.3,arcZ,ncRNA,NC_000913.3,11624,38,0.0,0.0,3,+,3933587,3933620,3350654,3350687,+,34,34,3933307,3933787,3350576,3350699,0.6431,0.6419,0.0,0.0,1.0,1.0
yhjX,CDS,NC_000913.3,mgrR,ncRNA,NC_000913.3,10846,23,0.0,0.0,3,-,3710497,3710533,1622827,1622860,-,37,33,3710457,3710584,1622816,1622914,1.0,0.8941,1.0,1.0,1.0,0.0
yeeO,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,9768,2,0.0,0.0,3,-,2058035,2058071,507240,507272,+,36,33,2057944,2059055,507187,507289,1.0,0.4435,1.0,0.0,0.4814,1.0
mtfA,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,9617,0,0.0,0.0,3,+,2044576,2044612,507240,507273,+,36,33,2043414,2044653,507202,507289,1.0,0.4448,0.0,0.0,1.0,1.0
