name1,type1,ref1,name2,type2,ref2,nb_ints,nb_multi,p_value,fdr,in_libs,strand1,meanleft1,meanright1,meanleft2,meanright2,strand2,length1,length2,minleft1,maxright1,minleft2,maxright2,relmean1,relmean2,relmin1,relmin2,relmax1,relmax2
Vcr222,sRNA,NC_002505,Vcr045,sRNA,NC_002505,92620,283,0.0,0.0,2,-,2783842,2783878,1164284,1164320,+,36,36,2783797,2783956,1164257,1164328,0.4411,0.2212,1.0,0.0,0.0,1.0
Vcr076,sRNA,NC_002505,Vssrna24,sRNA,NC_002505,73588,45,0.0,0.0,2,-,2266086,2266123,106500,106536,+,37,36,2266011,2266174,106452,106560,0.093,0.3529,1.0,0.0,0.0,1.0
Vcr229,sRNA,NC_002506,Vssrna24,sRNA,NC_002505,19808,67,0.0,0.0,2,+,897575,897617,106501,106536,+,43,35,897499,897769,106480,106556,0.4567,0.3667,0.0,0.0,1.0,1.0
VC0734,CDS,NC_002505,Vcr001,sRNA,NC_002505,15579,46,0.0,0.0,2,+,789069,789105,21903,21939,+,36,36,788877,790653,21884,21941,0.0938,0.0653,0.0,0.0,1.0,1.0
MicX,sRNA,NC_002506,VC0972,CDS,NC_002505,11725,13,0.0,0.0,2,-,893377,893416,1037828,1037864,+,40,37,893270,893520,1037762,1038926,0.5808,0.0,1.0,0.0,0.2799,0.9867
Vcr025,sRNA,NC_002505,Vcr090,sRNA,NC_002506,11502,15,0.0,0.0,2,+,522668,522711,3245,3279,+,43,35,522631,522721,3208,3288,0.9441,0.5229,0.0,0.0723,1.0,1.0
Vssrna24,sRNA,NC_002505,Vcr229,sRNA,NC_002506,9301,30,7.785843256615841e-44,1.5530896435749604e-41,2,+,106485,106520,897647,897686,+,36,40,106477,106552,897521,897741,0.7026,0.6055,0.0,0.0,1.0,1.0
VC0549,CDS,NC_002505,Vcr001,sRNA,NC_002505,9255,38,0.0,0.0,2,+,582449,582492,21904,21938,+,44,35,582145,582652,21872,21943,0.5198,0.0788,0.0,0.0,1.0,1.0
VC0972,CDS,NC_002505,MicX,sRNA,NC_002506,8606,15,0.0,0.0,2,+,1037794,1037835,893322,893358,-,42,36,1037755,1038970,893270,893570,0.0,0.8548,0.0,1.0,1.0,0.1341
VC0573,CDS,NC_002505,Vcr001,sRNA,NC_002505,6334,21,0.0,0.0,2,+,604216,604259,21903,21938,+,43,36,604126,604818,21877,21942,0.0682,0.0568,0.0,0.0,1.0,1.0
VCA0059,CDS,NC_002506,VrrA,sRNA,NC_002505,4395,26,0.0,0.0,2,-,66770,66796,1878779,1878820,+,27,42,66517,66844,1878685,1878825,0.0,0.6858,1.0,0.0072,0.0,1.0
VC1091,CDS,NC_002505,Vcr001,sRNA,NC_002505,3685,24,0.0,0.0,2,+,1159641,1159685,21904,21938,+,45,35,1158585,1160336,21885,21941,0.624,0.0828,0.0,0.0,1.0,1.0
VC2086,CDS,NC_002505,Vcr001,sRNA,NC_002505,3638,22,0.0,0.0,2,-,2245912,2245957,21904,21938,+,45,35,2245304,2246656,21878,21943,0.5466,0.0805,1.0,0.0,0.0,1.0
VC1337,CDS,NC_002505,Spot42,sRNA,NC_002505,3254,13,0.0,0.0,2,+,1420775,1420809,106137,106178,+,35,41,1420704,1422002,106080,106185,0.0,0.5681,0.0,0.0367,1.0,1.0
VCA1097,CDS,NC_002506,VqmR,sRNA,NC_002506,3052,13,0.0,0.0,2,-,1052925,1052965,1031530,1031566,+,41,37,1052841,1053183,1031444,1031590,0.6494,0.6145,1.0,0.04,0.0,1.0
VC1461,CDS,NC_002505,Vcr096,sRNA,NC_002506,3032,2,0.0,0.0,2,-,1571253,1571296,243937,243972,-,44,35,1571241,1571305,243935,244004,0.0,0.9675,0.0,1.0,0.0,0.0
Vcr103,sRNA,NC_002506,Qrr3,sRNA,NC_002506,2774,129,0.0,0.0,2,-,776889,776924,772302,772337,+,36,35,776854,776969,772265,772369,0.2966,0.4153,0.7862,0.0654,0.0,1.0
VC1872,CDS,NC_002505,Vcr076,sRNA,NC_002505,2443,18,8.061329430291326e-215,6.622096489327345e-212,2,+,2015993,2016029,2266024,2266064,-,37,40,2014898,2016926,2266012,2266145,0.5556,0.9329,0.0,1.0,1.0,0.0
VC1898,CDS,NC_002505,Vssrna24,sRNA,NC_002505,2438,13,0.0,0.0,2,+,2044482,2044520,106500,106536,+,38,36,2044421,2046115,106480,106539,0.0132,0.3498,0.0,0.0,0.8033,1.0
VC0583,CDS,NC_002505,Qrr3,sRNA,NC_002506,2082,17,0.0,0.0,2,-,613187,613230,772312,772347,+,43,35,612528,613256,772269,772369,0.0,0.5128,1.0,0.1028,0.0,1.0
VC1149,CDS,NC_002505,Vcr001,sRNA,NC_002505,2008,17,0.0,0.0,2,-,1221984,1222005,21904,21939,+,21,35,1220129,1222030,21890,21941,0.0,0.0865,1.0,0.0,0.0,1.0
Vcr229,sRNA,NC_002506,Vcr228,sRNA,NC_002506,1812,11,0.0,0.0,2,+,897565,897608,787374,787409,+,44,36,897514,897760,787264,787432,0.4112,0.6554,0.0,0.0,1.0,1.0
