name1,type1,ref1,name2,type2,ref2,nb_ints,nb_multi,p_value,fdr,in_libs,strand1,meanleft1,meanright1,meanleft2,meanright2,strand2,length1,length2,minleft1,maxright1,minleft2,maxright2,relmean1,relmean2,relmin1,relmin2,relmax1,relmax2
gcvB,ncRNA,NC_000913.3,gltI,CDS,NC_000913.3,55345,92,0.0,0.0,3,+,2942800,2942831,686691,686724,-,31,34,2942659,2942902,686657,687762,0.6624,1.0,0.0,1.0,1.0,0.0
gltI,CDS,NC_000913.3,gcvB,ncRNA,NC_000913.3,54939,40,0.0,0.0,3,-,686776,686812,2942849,2942880,+,36,32,686651,687747,2942659,2942918,1.0,0.7533,1.0,0.0,0.0,1.0
dkgB,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,29053,0,0.0,0.0,3,+,228959,228995,507239,507271,+,37,32,228894,229548,507202,507289,0.0,0.4301,0.0,0.0,0.4745,1.0
dnaQ,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,28178,0,0.0,0.0,3,+,236962,236998,507239,507271,+,37,32,236075,237010,507202,507289,1.0,0.4313,0.0109,0.0,1.0,1.0
mtfA,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,24683,2,0.0,0.0,3,+,2044576,2044612,507239,507270,+,36,32,2043413,2044706,507194,507289,1.0,0.4222,0.0,0.0,1.0,1.0
yeeO,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,24642,0,0.0,0.0,3,-,2058034,2058070,507239,507270,+,37,32,2053542,2059689,507196,507289,1.0,0.424,1.0,0.0,0.0956,1.0
ytfK,CDS,NC_000913.3,fnrS,ncRNA,NC_000913.3,12541,13,0.0,0.0,3,+,4439760,4439796,1409204,1409237,+,36,34,4439446,4439952,1409126,1409251,1.0,0.6357,0.0,0.0,1.0,1.0
nlpD,CDS,NC_000913.3,dsrA,ncRNA,NC_000913.3,12257,8,0.0,0.0,3,-,2867666,2867702,2025252,2025285,-,37,33,2867533,2868614,2025218,2025315,0.9225,0.7045,1.0,1.0,0.122,0.0
ytfR,CDS,NC_000913.3,arcZ,ncRNA,NC_000913.3,11110,9,0.0,0.0,3,+,4451014,4451048,3350658,3350692,+,35,35,4450968,4452481,3350583,3350700,0.0,0.6776,0.0,0.05,0.9474,1.0
eptB,CDS,NC_000913.3,gcvB,ncRNA,NC_000913.3,9982,21,0.0,0.0,3,-,3707742,3707779,2942773,2942806,+,37,33,3707689,3710354,2942693,2942908,1.0,0.3804,1.0,0.0,0.0716,1.0
nlpD,CDS,NC_000913.3,mgrR,ncRNA,NC_000913.3,9924,10,0.0,0.0,3,-,2867774,2867809,1622824,1622857,-,35,34,2867533,2868303,1622815,1622917,0.8287,0.9215,1.0,1.0,0.3951,0.0
ytfQ,CDS,NC_000913.3,arcZ,ncRNA,NC_000913.3,9429,2,0.0,0.0,3,+,4450930,4450968,3350658,3350692,+,38,35,4449926,4451009,3350640,3350698,1.0,0.6779,0.0,0.525,1.0,1.0
frvR,CDS,NC_000913.3,sucD,CDS,NC_000913.3,9137,16,0.0,0.0,3,-,4085858,4085895,765096,765129,+,37,34,4085804,4086020,764208,765150,1.0,1.0,1.0,0.0322,1.0,1.0
raiA,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,8749,14,2.704878917952039e-32,8.208313710631198e-30,3,+,2737405,2737438,507241,507273,+,33,33,2737123,2737550,507202,507289,0.8331,0.4544,0.0,0.0,1.0,1.0
nlpD,CDS,NC_000913.3,arrS,ncRNA,NC_000913.3,8468,12,0.0,0.0,3,-,2867655,2867691,3657988,3658022,-,37,35,2867533,2868120,3657982,3658055,0.9318,0.9631,1.0,1.0,0.5558,0.0
rbsD,CDS,NC_000913.3,arcZ,ncRNA,NC_000913.3,8365,26,0.0,0.0,3,+,3933591,3933624,3350655,3350689,+,33,34,3933267,3933787,3350577,3350698,0.6531,0.6516,0.0,0.0,1.0,1.0
ompX,CDS,NC_000913.3,cyaR,ncRNA,NC_000913.3,7950,12,0.0,0.0,3,+,850536,850569,2167159,2167192,+,34,34,850409,851013,2167111,2167202,0.2317,0.5235,0.0,0.0,1.0,1.0
nlpD,CDS,NC_000913.3,rprA,ncRNA,NC_000913.3,7780,5,0.0,0.0,3,-,2867677,2867714,1770427,1770461,+,37,34,2867533,2868698,1770372,1770479,0.9121,0.5371,1.0,0.0,0.0483,1.0
sstT,CDS,NC_000913.3,gcvB,ncRNA,NC_000913.3,7342,15,0.0,0.0,3,+,3239884,3239921,2942782,2942814,+,38,33,3239860,3241230,2942690,2942902,0.0,0.4234,0.0,0.0,1.0,1.0
sulA,CDS,NC_000913.3,micA,ncRNA,NC_000913.3,7134,2,0.0,0.0,3,-,1020092,1020128,2814823,2814856,+,36,34,1020034,1020813,2814798,2814881,1.0,0.3004,1.0,0.0,0.2083,1.0
clpB,CDS,NC_000913.3,cpxQ,ncRNA,NC_000913.3,6068,9,0.0,0.0,3,-,2725778,2725813,4106348,4106380,+,36,33,2725728,2733510,4106327,4106390,1.0,0.3197,1.0,0.0,0.2577,1.0
glmU,CDS,NC_000913.3,glmZ:cyaA,IGR,NC_000913.3,5948,2,0.0,0.0,3,-,3913717,3913754,3986598,3986630,+,38,33,3913650,3914837,3986587,3986640,1.0,0.0,1.0,0.0,0.265,0.0084
hupB,CDS,NC_000913.3,micA,ncRNA,NC_000913.3,5886,17,0.0,0.0,3,+,461527,461561,2814831,2814864,+,35,34,461328,461822,2814798,2814879,0.4073,0.4173,0.0,0.0,1.0,1.0
