name1,gene1,name2,gene2,type1,type2,relpos1,relpos2,nb_fragments,libs,norm_odds,p_value,ip_total_ratio1,ip_total_ratio2,chromosome1,first_start1,last_start1,chromosome2,first_start2,last_start2
IG.VC1041|fadI -> Vcr043,Vcr043,VC0731 -> U3.VC0731,VC0731,srna,gene,-1.0,0.39653304442036835,4431,"1,2",18.55,0.0,3.1,6.95,NC_002505,1114588,1114699,NC_002505,-786998,-786548
IG.VC1041|fadI -> Vcr043,Vcr043,VC0731 -> U3.VC0731,VC0731,srna,gene,-1.0,0.5124593716143012,4410,"1,2",36.88,0.0,3.09,11.49,NC_002505,1114588,1114699,NC_002505,-786784,-786548
VC2033 -> U3.VC2033,VC2033,IG.VC1786|VC1803,IG.VC1786|VC1803,gene,igr,0.7620643431635389,0.6647347302719572,3790,"1,2",3.84,0.0,4.22,3.58,NC_002505,-2188197,-2187553,NC_002505,1944156,1944249
VC2033 -> U3.VC2033,VC2033,IG.VC1786|VC1803,IG.VC1786|VC1803,gene,igr,0.8297587131367292,0.6647347302719572,3731,"1,2",7.96,0.0,4.89,3.57,NC_002505,-2187793,-2187553,NC_002505,1944156,1944249
VC2033,VC2033,VC2033 -> U3.VC2033,VC2033,gene,gene,0.2546916890080429,0.7278820375335121,2146,"1,2",0.05,0.0,1.94,3.55,NC_002505,-2190194,-2188565,NC_002505,-2188399,-2187561
VC2033,VC2033,VC2033 -> U3.VC2033,VC2033,gene,gene,0.2546916890080429,0.8284182305630027,1378,"1,2",0.12,0.0,1.91,4.96,NC_002505,-2190194,-2188565,NC_002505,-2187799,-2187561
VC2033 -> U3.VC2033,VC2033,VC2033,VC2033,gene,gene,0.6229892761394102,0.23558981233243967,1283,"1,2",0.03,0.0,3.17,1.71,NC_002505,-2189068,-2187518,NC_002505,-2190294,-2188604
VC2033,VC2033,VC2033 -> U3.VC2033,VC2033,gene,gene,0.4222520107238606,0.8284182305630027,860,"1,2",0.41,0.0,1.8,4.73,NC_002505,-2189196,-2188565,NC_002505,-2187798,-2187561
VC2033 -> U3.VC2033,VC2033,VC2033,VC2033,gene,gene,0.8022788203753352,0.3039544235924933,849,"1,2",0.07,0.0,4.3,1.86,NC_002505,-2187997,-2187518,NC_002505,-2189890,-2188604
U5.VC2142,VC2142,FlaX,FlaX,gene,srna,0.0,-1.0,821,"1,2",42.86,0.0,6.94,5.51,NC_002505,-2297467,-2297401,NC_002505,-2334665,-2334428
U5.rplL -> U3.rplL,rplL,VqmR,VqmR,gene,srna,0.01804511278195489,-1.0,675,"1,2",0.87,0.0001230168,1.48,1.28,NC_002505,339710,340153,NC_002506,1031476,1031566
VC0349,VC0349,U3.VC0349 -> U5.VC0351,VC0350,gene,gene,0.3362474781439139,0.3265625,430,"1,2",0.67,0.0118251198,2.33,4.48,NC_002505,371907,372954,NC_002505,373101,373975
VC0731 -> U3.VC0731,VC0731,Vcr043,Vcr043,gene,srna,0.447453954496208,-1.0,429,"1,2",3.7,0.0,3.91,2.36,NC_002505,-786898,-786553,NC_002505,1114601,1114722
IG.VC1786|VC1803,IG.VC1786|VC1803,U3.VC2033,VC2033,igr,gene,0.6615247436469015,0.8619302949061662,410,"1,2",10.15,0.0,2.88,6.74,NC_002505,1944141,1944190,NC_002505,-2187598,-2187560
VC0349,VC0349,VC0350 -> U5.VC0351,VC0350,gene,gene,0.3362474781439139,0.5609375,384,"1,2",0.92,0.0858995604,2.31,4.61,NC_002505,371907,372954,NC_002505,373701,373975
U5.VC2187 -> VC2187,VC2187,VC2187 -> Vcr078,Vcr078,gene,srna,0.0,-1.0,376,"1,2",68.78,0.0,8.49,76.04,NC_002505,-2334169,-2334039,NC_002505,-2333141,-2332925
VC0998,VC0998,VC0998 -> U5.truA,VC0998,gene,gene,0.5909002904162634,0.8553727008712488,338,1,2.49,0.0,11.6,12.46,NC_002505,1067503,1068858,NC_002505,1069224,1069869
cyaA,cyaA,cyaA -> U3.cyaA,cyaA,gene,gene,0.2546803249735076,0.6517131755563406,285,1,0.94,0.3360918967,1.79,3.07,NC_002505,116301,117547,NC_002505,117505,118591
VC0653 -> VC0652,VC0652,VC0652 -> U3.VC0651,VC0651,gene,gene,0.0,0.19015280135823429,276,1,10.24,0.0,2.76,5.34,NC_002505,-697884,-696417,NC_002505,-696387,-695309
GcvB -> IG.xni|VC0891,GcvB,Vcr036,Vcr036,srna,srna,-1.0,-1.0,258,"1,2",179.87,0.0,1.08,19.26,NC_002505,-954890,-954715,NC_002505,-840454,-840380
VC0348 -> VC0349,VC0349,VC0350 -> U5.VC0351,VC0350,gene,gene,0.0,0.5609375,248,"1,2",0.83,0.0118251198,1.96,4.78,NC_002505,371203,372921,NC_002505,373702,373975
mukB,mukB,mukB -> U3.mukB,mukB,gene,gene,0.4961256544502618,0.8887958115183247,234,1,4.16,0.0,4.63,6.93,NC_002505,-1851970,-1850300,NC_002505,-1849398,-1849122
VC0998,VC0998,VC0998 -> U5.truA,VC0998,gene,gene,0.6125847047434656,0.8917715392061956,216,"1,2",2.92,0.0,12.63,12.52,NC_002505,1067726,1068860,NC_002505,1069600,1069869
VC0428 -> U3.VC0428,VC0428,pfkA -> U3.pfkA,pfkA,gene,gene,0.3989145183175034,0.644015444015444,211,"1,2",14.06,0.0,3.29,5.67,NC_002505,-456894,-456809,NC_002505,-2856869,-2856734
VC0476 -> U3.pgk,pgk,U3.pgk -> VC0478,VC0478,gene,gene,0.2104194857916103,0.2129360465116279,208,1,0.58,0.0,1.53,2.08,NC_002505,507803,509260,NC_002505,509302,510395
VC2033 -> U3.VC2033,VC2033,VC0575 -> sspA,Vcr203,gene,srna,0.8297587131367292,-1.0,207,1,3.71,0.0,6.41,1.86,NC_002505,-2187793,-2187558,NC_002505,606810,607081
CsrD,CsrD,pfkA,pfkA,srna,gene,-1.0,0.6324324324324324,204,"1,2",20.73,0.0,0.6,2.82,NC_002506,-784094,-783801,NC_002505,-2856818,-2856800
VC0255,VC0255,U3.VC0257 -> IG.VC0257|VC0262,VC0257,gene,gene,0.0,0.7295221843003413,190,"1,2",511.52,0.0,1.07,1.38,NC_002505,262101,262269,NC_002505,263545,263799
U3.VC0358,VC0358,VC0360 -> U5.VC0361,VC0360,gene,gene,0.4365217391304348,0.3987012987012987,182,"1,2",15.75,0.0,1.57,1.7,NC_002505,378400,378466,NC_002505,379424,379475
VC2033,VC2033,VC2033,VC2033,gene,gene,0.12064343163538874,0.5382037533512064,177,1,0.29,0.0,1.83,2.0,NC_002505,-2190178,-2189405,NC_002505,-2188789,-2188304
IG.emrD|VCA0213 -> VCA0213,VCA0213,VCA0213 -> U3.VCA0213,VCA0213,gene,gene,0.0,0.6045526733721546,173,1,4.94,0.0,1.08,12.79,NC_002506,-232296,-231606,NC_002506,-231088,-230437
IG.VC0386|metH,IG.VC0386|metH,U5.VC0713 -> VC0713,VC0713,igr,gene,0.030942895086321382,0.0,166,"1,2",2.77,0.0,0.27,0.29,NC_002505,401433,401750,NC_002505,762516,762772
VC0349 -> U5.VC0351,VC0350,VC0348 -> VC0349,VC0349,gene,gene,0.25,0.11970410221923336,164,"1,2",0.66,0.0,4.19,2.25,NC_002505,372913,373967,NC_002505,371518,372697
IG.VC0386|metH,IG.VC0386|metH,IG.VC2497|VC2489,IG.VC2497|VC2489,igr,igr,0.023638778220451528,0.01893971421324089,162,"1,2",4.05,0.0,0.27,0.26,NC_002505,401434,401644,NC_002505,-2681595,-2681500
U3.pgk -> VC0478,VC0478,U5.pgk -> U3.pgk,pgk,gene,gene,0.21220930232558138,0.3037889039242219,160,1,0.88,0.1053393928,1.74,1.28,NC_002505,509301,510393,NC_002505,508045,509295
IG.VC0386|metH,IG.VC0386|metH,VC0059 -> IG.VC0059|ccrB,VC0059,igr,gene,0.030942895086321382,0.15454545454545454,158,"1,2",1.79,0.0,0.26,0.23,NC_002505,401433,401748,NC_002505,53610,53820
nusG -> U3.rplA,rplA,U3.rplJ -> U3.rplL,rplL,gene,gene,0.0,0.10225563909774436,156,1,0.26,0.0,0.61,1.32,NC_002505,337642,339042,NC_002505,339810,340162
