name1,gene1,name2,gene2,type1,type2,relpos1,relpos2,nb_fragments,libs,norm_odds,p_value,ip_total_ratio1,ip_total_ratio2,chromosome1,first_start1,last_start1,chromosome2,first_start2,last_start2
IG.ligA|VC0972 -> VC0972,VC0972,MicX -> IG.malG|VCA0937,MicX,gene,srna,0.0,-1.0,16010,"1,2",0.51,0.0,61.3,39.11,NC_002505,1037706,1037898,NC_002506,-893497,-893271
MicX,MicX,IG.ligA|VC0972 -> VC0972,VC0972,srna,gene,-1.0,0.0,10100,"1,2",0.35,0.0,39.95,57.65,NC_002506,-893497,-893274,NC_002505,1037723,1037896
Qrr2,Qrr2,IG.VC2646|VC2647 -> VC2647,VC2647,srna,gene,-1.0,0.0,4506,"1,2",14.26,0.0,7.88,61.74,NC_002506,48447,48486,NC_002505,2821309,2821797
VC0731 -> U3.VC0731,VC0731,Vcr043,Vcr043,gene,srna,0.5027085590465872,-1.0,3090,"1,2",0.52,0.0,5.79,92.61,NC_002505,-786798,-786552,NC_002505,1114601,1114723
U5.VCA0987 -> VCA0987,Vcr230,Spot42,Spot42,srna,srna,-1.0,-1.0,3072,"1,2",0.17,1.44412e-5,41.12,130.25,NC_002506,937991,938297,NC_002505,106108,106159
VC0706,Vcr034,Vcr043,Vcr043,srna,srna,-1.0,-1.0,2556,"1,2",0.35,0.0,1.57,67.34,NC_002505,-756499,-756300,NC_002505,1114596,1114725
VC1497 -> U5.VC1496,VC1497,Vcr043,Vcr043,gene,srna,0.3174946004319654,-1.0,2453,"1,2",0.4,0.0,6.03,76.39,NC_002505,-1608899,-1608516,NC_002505,1114600,1114724
IG.VC0037|VC0036 -> VC0036,VC0036,Vcr043,Vcr043,gene,srna,0.0,-1.0,2364,"1,2",1.34,0.0,16.01,67.68,NC_002505,-35888,-35500,NC_002505,1114600,1114723
U3.VC2571 -> rplQ,rplQ,Vcr076 -> U3.VC2109,Vcr076,gene,srna,0.0,-1.0,2056,"1,2",0.68,2.55424e-5,1.92,94.09,NC_002505,-2751497,-2751300,NC_002505,-2266098,-2266015
U3.VC1050 -> U5.VC1051,VC1051,Vcr043,Vcr043,gene,srna,0.0,-1.0,1995,"1,2",2.27,0.0,9.74,83.06,NC_002505,1121309,1121457,NC_002505,1114605,1114725
U5.VC0910 -> VC0910,VC0910,Spot42,Spot42,gene,srna,0.0,-1.0,1986,"1,2",0.7,0.0003718587,6.6,128.92,NC_002505,969714,969897,NC_002505,106083,106159
U5.VC0706 -> VC0706,Vcr034,U3.VCA0543 -> Vcr227,Vcr227,srna,srna,-1.0,-1.0,1864,"1,2",1.04,0.3462167726,0.99,82.96,NC_002505,-756581,-756302,NC_002506,479932,479998
Vcr083,Vcr083,Spot42,Spot42,srna,srna,-1.0,-1.0,1860,"1,2",1.7,0.0,30.26,127.63,NC_002505,2472403,2472486,NC_002505,106079,106158
U3.VCA0165 -> VCA0166,VCA0166,VCA0543 -> Vcr227,Vcr227,gene,srna,0.0,-1.0,1830,"1,2",2.29,0.0,0.29,81.75,NC_002506,184102,184464,NC_002506,479801,479997
U3.VC1596,VC1596,Spot42,Spot42,gene,srna,0.719208211143695,-1.0,1595,"1,2",48.53,0.0,13.7,130.25,NC_002505,-1708188,-1708101,NC_002505,106108,106160
IG.VC2646|VC2647 -> VC2647,VC2647,GcvB,GcvB,gene,srna,0.0,-1.0,1260,"1,2",0.45,7.37e-8,47.82,9.84,NC_002505,2821306,2821598,NC_002505,-954869,-954719
U5.grxA -> grxA,grxA,Vcr043,Vcr043,gene,srna,0.0,-1.0,1008,"1,2",0.56,0.8007524634,2.32,76.39,NC_002505,-1217545,-1217253,NC_002505,1114606,1114722
U3.VC2544 -> VC2545,VC2545,Vcr043,Vcr043,gene,srna,0.0,-1.0,996,"1,2",2.52,0.0,2.42,60.24,NC_002505,2725936,2726191,NC_002505,1114600,1114722
VC2606 -> U3.VC2606,VC2606,Spot42,Spot42,gene,srna,0.7973358705994291,-1.0,982,"1,2",2.18,0.0,6.9,130.25,NC_002505,-2774899,-2774706,NC_002505,106101,106159
U5.VC2478 -> VC2478,VC2478,Spot42,Spot42,gene,srna,0.0,-1.0,972,"1,2",0.38,0.0,0.59,130.25,NC_002505,2657833,2658099,NC_002505,106107,106160
VC0706,Vcr034,Vcr090,Vcr090,srna,srna,-1.0,-1.0,971,"1,2",1.22,0.0,1.57,9.03,NC_002505,-756499,-756300,NC_002506,3201,3260
U5.VC0470 -> VC0470,VC0470,TfoR,TfoR,gene,srna,0.0,-1.0,965,"1,2",26.11,0.0,7.55,81.16,NC_002505,-499435,-499250,NC_002505,2236604,2236685
U5.VC2647 -> VC2647,VC2647,TfoR,TfoR,gene,srna,0.0,-1.0,947,"1,2",7.34,0.0,9.92,81.16,NC_002505,2821500,2821694,NC_002505,2236602,2236685
VC0706 -> U3.VC0706,Vcr034,TarB,TarB,srna,srna,-1.0,-1.0,936,1,7.89,0.0,1.55,8.8,NC_002505,-756497,-756202,NC_002505,-911288,-911234
U5.VC2647 -> VC2647,VC2647,GcvB,GcvB,gene,srna,0.0,-1.0,922,"1,2",0.43,7.37e-8,26.29,9.22,NC_002505,2821306,2821687,NC_002505,-954878,-954721
U5.VC1865 -> VC1865,VC1865,VqmR,VqmR,gene,srna,0.0,-1.0,906,"1,2",4.97,0.0,1.18,4.84,NC_002505,2005003,2005395,NC_002506,1031439,1031560
U3.VCA0180 -> VCA0181,VCA0181,Vcr043,Vcr043,gene,srna,0.0,-1.0,874,"1,2",0.45,0.0393194713,54.32,73.76,NC_002506,199316,199578,NC_002505,1114605,1114725
rplJ -> rplL,rplL,TfoR,TfoR,gene,srna,0.0,-1.0,854,"1,2",0.92,0.0116144451,0.23,80.73,NC_002505,339502,339998,NC_002505,2236590,2236684
VC1034 -> U3.VC1034,VC1034,Spot42,Spot42,gene,srna,0.5102230483271375,-1.0,829,"1,2",0.4,0.0,0.58,130.25,NC_002505,1100901,1101185,NC_002505,106100,106158
VC0910 -> VC0911,VC0911,Vcr017,Vcr017,gene,srna,0.0,-1.0,784,"1,2",9.9,0.0,1.78,15.55,NC_002505,971100,971580,NC_002505,-350337,-350275
U5.VC2217 -> VC2217,VC2217,Vcr017,Vcr017,gene,srna,0.14266350389698407,-1.0,763,1,3.65,0.0,15.64,16.62,NC_002505,-2374196,-2372934,NC_002505,-350345,-350277
U3.VC2646 -> U5.VC2647,VC2647,IG.VCA0821|VCA0829 -> Qrr3,Qrr3,gene,srna,0.0,-1.0,736,"1,2",1.31,0.0,71.37,49.75,NC_002505,2821257,2821494,NC_002506,772256,772336
VC2363 -> Vcr216,Vcr216,GcvB,GcvB,srna,srna,-1.0,-1.0,709,"1,2",10.5,0.0,12.8,10.21,NC_002505,-2518989,-2518803,NC_002505,-954840,-954721
U5.VC0706 -> VC0706,Vcr034,Qrr2,Qrr2,srna,srna,-1.0,-1.0,704,"1,2",3.11,0.0,0.95,6.09,NC_002505,-756582,-756300,NC_002506,48424,48530
U5.VCA1043 -> VCA1043,VCA1043,Spot42,Spot42,gene,srna,0.0,-1.0,666,"1,2",0.44,0.0,5.76,128.92,NC_002506,-994380,-994238,NC_002505,106079,106158
VC2013,VC2013,TfoR,TfoR,gene,srna,0.13706992230854606,-1.0,643,"1,2",0.98,0.6438064306,0.97,81.16,NC_002505,-2168093,-2167441,NC_002505,2236600,2236681
IG.VCA0821|VCA0829 -> Qrr3,Qrr3,IG.VC2646|VC2647 -> VC2647,VC2647,srna,gene,-1.0,0.0,626,1,1.71,0.0,22.7,61.74,NC_002506,772256,772284,NC_002505,2821318,2821793
U5.VC0583 -> VC0583,VC0583,Qrr3,Qrr3,gene,srna,0.0,-1.0,622,"1,2",60.66,0.0,3.22,49.32,NC_002505,-613217,-613102,NC_002506,772272,772336
U5.VCA0970 -> VCA0970,VCA0970,GcvB,GcvB,gene,srna,0.0,-1.0,594,1,22.34,0.0,3.26,10.21,NC_002506,-917398,-917217,NC_002505,-954862,-954722
U5.sdhC -> sdhC,sdhC,Spot42,Spot42,gene,srna,0.0,-1.0,586,"1,2",0.63,0.0002804128,8.3,127.63,NC_002505,-2252785,-2252709,NC_002505,106086,106157
VC2013,VC2013,TfoR,TfoR,gene,srna,0.03773584905660377,-1.0,570,"1,2",2.33,0.0,1.64,81.16,NC_002505,-2168093,-2167800,NC_002505,2236600,2236681
VC0348 -> U5.VC0349,VC0348,Spot42,Spot42,gene,srna,0.7193203272498426,-1.0,560,"1,2",8.54,0.0,0.83,130.25,NC_002505,371700,371779,NC_002505,106111,106159
IG.VC0487|VC0494 -> Vcr025,Vcr025,Vcr090,Vcr090,srna,srna,-1.0,-1.0,558,"1,2",224.98,0.0,2.6,9.03,NC_002505,522600,522691,NC_002506,3211,3258
Vcr229 -> U5.VCA0946,Vcr229,Spot42,Spot42,srna,srna,-1.0,-1.0,549,"1,2",1.3,1.4e-9,8.52,130.25,NC_002506,897700,897799,NC_002505,106107,106158
sdhB -> sucA,sucA,IG.VC0108|VC0112 -> Spot42,Spot42,gene,srna,0.0,-1.0,545,"1,2",0.29,0.0005967456,1.35,127.63,NC_002505,-2249561,-2249214,NC_002505,106073,106156
U5.VC1905 -> VC1905,VC1905,Spot42,Spot42,gene,srna,0.0,-1.0,539,"1,2",2.02,0.0,8.9,130.25,NC_002505,2055513,2055699,NC_002505,106102,106157
VC1497 -> VC1496,VC1496,Vcr043,Vcr043,gene,srna,0.0,-1.0,530,1,2.26,0.0,1.35,67.68,NC_002505,-1608599,-1608375,NC_002505,1114606,1114719
U3.VC1920 -> VC1919,VC1919,VrrA,VrrA,gene,srna,0.0,-1.0,523,"1,2",15.67,0.0,0.8,44.64,NC_002505,-2069238,-2069104,NC_002505,1878711,1878795
U5.VC1048 -> VC1048,VC1048,Vcr043,Vcr043,gene,srna,0.0,-1.0,494,"1,2",0.52,0.0004189057,6.19,60.24,NC_002505,1118421,1118673,NC_002505,1114600,1114723
U3.VC2356 -> VC2355,VC2355,Vcr043,Vcr043,gene,srna,0.0,-1.0,490,"1,2",0.7,0.0005631625,4.98,73.76,NC_002505,-2511699,-2511405,NC_002505,1114600,1114721
VC2348 -> U5.deoD,VC2348,Vcr017,Vcr017,gene,srna,0.7125,-1.0,467,1,11.38,0.0,1.66,16.03,NC_002505,-2504452,-2504321,NC_002505,-350337,-350278
IG.VCA0942|VCA0946 -> U5.VCA0946,Vcr229,VCA0946 -> U3.VCA0946,VCA0946,srna,gene,-1.0,0.5320197044334976,463,1,0.86,0.0015004645,27.42,2.93,NC_002506,897525,897796,NC_002506,898537,898999
VC0243 -> VC0244,VC0244,VqmR,VqmR,gene,srna,0.10334996436208126,-1.0,460,"1,2",0.91,0.0108911669,0.82,4.9,NC_002505,250401,251098,NC_002506,1031474,1031560
VC1558,VC1558,Vssrna24,Vssrna24,gene,srna,0.0,-1.0,458,"1,2",3.63,0.0,1.92,209.52,NC_002505,-1670590,-1670502,NC_002505,106483,106510
IG.VCA0942|VCA0946 -> Vcr229,Vcr229,IG.VC0108|VC0112 -> Vssrna24,Vssrna24,srna,srna,-1.0,-1.0,457,"1,2",1.12,0.0269316699,26.73,250.37,NC_002506,897524,897599,NC_002505,106444,106499
