name1,type1,ref1,name2,type2,ref2,nb_ints,nb_multi,p_value,fdr,in_libs,strand1,meanleft1,meanright1,meanleft2,meanright2,strand2,length1,length2,minleft1,maxright1,minleft2,maxright2,relmean1,relmean2,relmin1,relmin2,relmax1,relmax2
chiP,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,203683,185,0.0,0.0,3,+,708279,708311,507248,507283,+,32,35,708087,709772,507179,507291,0.0,0.5382,0.0,0.0,1.0,1.0
gltI,CDS,NC_000913.3,gcvB,ncRNA,NC_000913.3,56699,62,0.0,0.0,3,-,686781,686818,2942847,2942878,+,37,32,686659,687757,2942693,2942922,1.0,0.7404,1.0,0.0,0.0,1.0
gcvB,ncRNA,NC_000913.3,gltI,CDS,NC_000913.3,49779,114,0.0,0.0,3,+,2942787,2942818,686695,686728,-,32,34,2942660,2942936,686654,687765,0.6027,1.0,0.0,1.0,1.0,0.0
glmU,CDS,NC_000913.3,glmZ,ncRNA,NC_000913.3,32952,14,0.0,0.0,3,-,3913718,3913755,3986587,3986616,+,38,29,3913650,3915191,3986433,3986641,1.0,0.9101,1.0,0.0058,0.0066,1.0
sstT,CDS,NC_000913.3,gcvB,ncRNA,NC_000913.3,31872,38,0.0,0.0,3,+,3239882,3239919,2942785,2942818,+,37,34,3239807,3241261,2942691,2942903,0.0,0.4365,0.0,0.0,1.0,1.0
hupB,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,22975,47,0.0,0.0,3,+,461446,461475,507245,507280,+,29,36,461328,461819,507179,507316,0.0911,0.4951,0.0,0.0,1.0,1.0
lysP,CDS,NC_000913.3,ryhB,ncRNA,NC_000913.3,16102,20,0.0,0.0,3,-,2246852,2246889,3580949,3580975,-,37,26,2246755,2247059,3580920,3581025,1.0,0.7429,1.0,1.0,1.0,0.0
dkgB,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,15418,16,0.0,0.0,3,+,228959,228995,507240,507273,+,37,33,228882,230041,507197,507289,0.0,0.4397,0.0,0.0,1.0,1.0
ubiX,CDS,NC_000913.3,gcvB,ncRNA,NC_000913.3,14835,12,0.0,0.0,3,-,2427832,2427867,2942795,2942829,+,36,34,2427773,2428625,2942694,2942902,1.0,0.4878,1.0,0.0,0.0018,1.0
dnaQ,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,14266,2,0.0,0.0,3,+,236962,236998,507240,507273,+,37,33,236037,237032,507202,507288,1.0,0.4457,0.0,0.0,1.0,1.0
yncE,CDS,NC_000913.3,ryhB,ncRNA,NC_000913.3,13744,30,0.0,0.0,3,+,1523288,1523323,3580949,3580975,-,36,26,1523173,1524596,3580920,3581024,0.0158,0.7433,0.0,1.0,1.0,0.0
chbB,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,13064,39,0.0,0.0,3,-,1821270,1821299,507248,507282,+,29,35,1821202,1821638,507199,507293,0.9989,0.5382,1.0,0.0,0.0,1.0
dmsA,CDS,NC_000913.3,ryhB,ncRNA,NC_000913.3,12608,12,0.0,0.0,3,+,940904,940942,3580933,3580967,-,38,34,940821,943252,3580920,3581019,0.0,0.923,0.0,1.0,0.9382,0.0
rbsD,CDS,NC_000913.3,arcZ,ncRNA,NC_000913.3,11625,38,0.0,0.0,3,+,3933587,3933620,3350654,3350687,+,34,34,3933307,3933787,3350576,3350699,0.6442,0.6419,0.0,0.0,1.0,1.0
yhjX,CDS,NC_000913.3,mgrR,ncRNA,NC_000913.3,10838,24,0.0,0.0,3,-,3710497,3710533,1622827,1622860,-,37,33,3710457,3710584,1622816,1622916,1.0,0.894,1.0,1.0,1.0,0.0
mtfA,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,9939,5,0.0,0.0,3,+,2044577,2044612,507240,507273,+,36,33,2043414,2044653,507202,507289,1.0,0.4361,0.0,0.0,1.0,1.0
yeeO,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,9768,2,0.0,0.0,3,-,2058035,2058071,507240,507272,+,36,33,2057944,2059055,507187,507289,1.0,0.4435,1.0,0.0,0.4814,1.0
rplK,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,9211,2,0.0,0.0,3,+,4178429,4178458,507241,507281,+,30,40,4178349,4178891,507195,507288,0.0277,0.4552,0.0,0.0,1.0,1.0
