name1,type1,ref1,name2,type2,ref2,nb_chimeras,nb_multi,p_value,fdr,in_libs,strand1,left1,right1,left2,right2,strand2
VC1786:VC1803,IGR,NC_002505,VC2033,3UTR,NC_002505,14044,149,0.0,0.0,2,+,1944140,1945254,2187551,2187639,-
VC0731,3UTR,NC_002505,Vcr043,sRNA,NC_002505,13393,168,0.0,0.0,2,-,786545,786682,1114588,1114749,+
Vcr203,sRNA,NC_002505,VC2033,3UTR,NC_002505,4889,146,0.0,0.0,2,+,606795,606918,2187550,2187637,-
VC2033,3UTR,NC_002505,Vcr203,sRNA,NC_002505,4211,83,0.0,0.0,2,-,2187546,2187636,606786,606935,+
FlaX,sRNA,NC_002505,VC2142,5UTR,NC_002505,2754,6,0.0,0.0,2,-,2334422,2334712,2297404,2297522,-
Vcr078,sRNA,NC_002505,VC2187,5UTR,NC_002505,2297,33,0.0,0.0,2,-,2332923,2333131,2334084,2334221,-
VqmR,sRNA,NC_002506,rplL,CDS,NC_002505,1980,25,0.0,0.0,2,+,1031448,1031590,339749,340155,+
Vcr203,sRNA,NC_002505,VC2033,CDS,NC_002505,1967,22,0.0,0.0,2,+,606810,606918,2187593,2190294,-
VC2033,3UTR,NC_002505,VC1786:VC1803,IGR,NC_002505,1930,23,0.0,0.0,2,-,2187549,2187633,1938129,1945136,+
Vcr089,sRNA,NC_002505,rplL,CDS,NC_002505,1700,8,0.0,0.0,2,-,2812075,2812165,339781,340155,+
VC0350,CDS,NC_002505,VC0349,CDS,NC_002505,1596,145,0.0,0.0,2,+,372953,373984,371743,372975,+
VC0349,CDS,NC_002505,VC0350,CDS,NC_002505,1596,145,0.0,0.0,2,+,371749,372980,372949,373993,+
VC2745:VC2753,IGR,NC_002505,VC2489:VC2497,IGR,NC_002505,1508,94,0.0,0.0,2,-,2920758,2937461,2671057,2681746,-
Vcr036,sRNA,NC_002505,GcvB,sRNA,NC_002505,1497,17,0.0,0.0,2,-,840377,840478,954715,954925,-
VC2745:VC2753,IGR,NC_002505,VC2753,CDS,NC_002505,1487,23,0.0,0.0,2,-,2921603,2937454,2939145,2939328,-
tuf2,CDS,NC_002505,tuf,CDS,NC_002505,1403,432,0.0,0.0,2,+,381759,382957,335306,336513,+
VC2745:VC2753,IGR,NC_002505,fre:murB,IGR,NC_002505,1399,126,0.0,0.0,2,-,2922574,2937463,323812,330070,+
VC2745:VC2753,IGR,NC_002505,VC0713,5UTR,NC_002505,1381,65,0.0,0.0,2,-,2925142,2937465,762425,762612,+
Vcr043,sRNA,NC_002505,VC0731,3UTR,NC_002505,1379,61,0.0,0.0,2,+,1114593,1114750,786548,786686,-
VC1786:VC1803,IGR,NC_002505,VC2033,CDS,NC_002505,1329,46,1.1540488762120556e-303,5.510324846988999e-300,2,+,1937094,1946130,2187596,2190305,-
fre:murB,IGR,NC_002505,VC2489:VC2497,IGR,NC_002505,1314,55,0.0,0.0,2,+,323812,331105,2674200,2681747,-
VC0767,CDS,NC_002505,guaA,CDS,NC_002505,1242,41,0.0,0.0,2,+,819996,821499,821571,823163,+
VC2033,CDS,NC_002505,Vcr203,sRNA,NC_002505,1225,6,0.0,0.0,2,-,2187598,2190286,606789,606927,+
VC0158:VC0162,IGR,NC_002505,VC0162,CDS,NC_002505,1217,66,0.0,0.0,2,+,150873,157388,157430,158937,+
VC0386:metH,IGR,NC_002505,VC0713,5UTR,NC_002505,1209,35,0.0,0.0,2,+,401435,406774,762426,762611,+
VC2033,3UTR,NC_002505,Vcr017,sRNA,NC_002505,1153,8,0.0,0.0,2,-,2187551,2187635,350275,350370,-
VCA0751,CDS,NC_002506,VCA0751:VCA0754a,IGR,NC_002506,1118,56,0.0,0.0,2,-,695564,696682,696823,699802,-
VC2489:VC2497,IGR,NC_002505,VC0713,5UTR,NC_002505,1102,180,0.0,0.0,2,-,2670821,2681731,762426,762612,+
recC,CDS,NC_002505,VC2320,CDS,NC_002505,1100,41,0.0,0.0,2,-,2472525,2475950,2468638,2472275,-
VC0059:ccrB,IGR,NC_002505,VC2489:VC2497,IGR,NC_002505,1089,67,0.0,0.0,2,+,53635,59266,2670786,2681748,-
VC2320,CDS,NC_002505,recC,CDS,NC_002505,1056,31,0.0,0.0,2,-,2468622,2472277,2472521,2475981,-
VC2745:VC2753,IGR,NC_002505,VC0059,CDS,NC_002505,1036,39,0.0,0.0,2,-,2921084,2937451,53485,53664,+
VC2489:VC2497,IGR,NC_002505,fre:murB,IGR,NC_002505,1029,107,0.0,0.0,2,-,2671029,2681702,323810,330373,+
VC0386:metH,IGR,NC_002505,fre:murB,IGR,NC_002505,1018,123,0.0,0.0,2,+,401270,408525,323774,329574,+
VC0162,CDS,NC_002505,VC0158:VC0162,IGR,NC_002505,1015,80,0.0,0.0,2,+,157446,158939,150880,157387,+
guaA,CDS,NC_002505,VC0767,CDS,NC_002505,1012,34,0.0,0.0,2,+,821583,823156,819992,821502,+
VC0386:metH,IGR,NC_002505,VC0059,CDS,NC_002505,1010,61,0.0,0.0,2,+,401507,408779,53476,53661,+
fre:murB,IGR,NC_002505,VC0386:metH,IGR,NC_002505,987,107,0.0,0.0,2,+,323812,331105,401433,408353,+
VCA0751:VCA0754a,IGR,NC_002506,VCA0751,CDS,NC_002506,971,34,0.0,0.0,2,-,696823,699802,695559,696691,-
pgk,CDS,NC_002505,VC0478,CDS,NC_002505,946,42,0.0,0.0,2,+,508056,509256,509400,510503,+
nusA,CDS,NC_002505,infB,CDS,NC_002505,935,69,0.0,0.0,2,+,683808,685342,685309,688050,+
VC0059:ccrB,IGR,NC_002505,fre:murB,IGR,NC_002505,934,95,0.0,0.0,2,+,53650,59277,323812,330657,+
VC0478,CDS,NC_002505,pgk,CDS,NC_002505,932,59,0.0,0.0,2,+,509389,510499,508061,509274,+
VC0713:VC0714,IGR,NC_002505,fre:murB,IGR,NC_002505,925,104,0.0,0.0,2,+,764307,768192,323812,329454,+
VC0351,CDS,NC_002505,VC0349,CDS,NC_002505,908,81,0.0,0.0,2,+,373959,374197,371749,372981,+
VC2745:VC2753,IGR,NC_002505,VC0386:metH,IGR,NC_002505,903,79,0.0,0.0,2,-,2920758,2937459,401434,408831,+
rpoB,CDS,NC_002505,VC0329,CDS,NC_002505,903,24,0.0,0.0,2,+,340383,344397,344482,348722,+
VC2489:VC2497,IGR,NC_002505,VC0059,CDS,NC_002505,897,27,0.0,0.0,2,-,2670211,2681738,53477,53652,+
VC0059:ccrB,IGR,NC_002505,VC0059,CDS,NC_002505,894,43,0.0,0.0,2,+,53639,59268,53476,53660,+
VC0059:ccrB,IGR,NC_002505,VC0713,5UTR,NC_002505,894,41,0.0,0.0,2,+,53643,59268,762418,762612,+
VC0059:ccrB,IGR,NC_002505,VC0386:metH,IGR,NC_002505,890,58,0.0,0.0,2,+,53643,59282,401435,409005,+
pfkA,3UTR,NC_002505,VC0428,3UTR,NC_002505,884,2,0.0,0.0,2,-,2856727,2856801,456809,456880,-
fre:murB,IGR,NC_002505,VC0059,CDS,NC_002505,883,47,0.0,0.0,2,+,323812,329122,53476,53654,+
VC0386:metH,IGR,NC_002505,VC2489:VC2497,IGR,NC_002505,866,68,0.0,0.0,2,+,401464,408540,2670699,2681746,-
infB,CDS,NC_002505,nusA,CDS,NC_002505,866,103,0.0,0.0,2,+,685308,688050,683801,685344,+
VC2489:VC2497,IGR,NC_002505,VC0386:metH,IGR,NC_002505,863,74,0.0,0.0,2,-,2671262,2681706,401434,406799,+
VC0329,CDS,NC_002505,rpoB,CDS,NC_002505,847,18,0.0,0.0,2,+,344518,348726,340391,344391,+
tyrA,CDS,NC_002505,VC0695,CDS,NC_002505,829,72,0.0,0.0,2,+,744603,745757,743513,744623,+
tuf,CDS,NC_002505,tuf2,CDS,NC_002505,816,30,0.0,0.0,2,+,335341,336528,381738,382927,+
VC0158:VC0162,IGR,NC_002505,VC2489:VC2497,IGR,NC_002505,812,69,0.0,0.0,2,+,150300,157250,2670421,2681746,-
VC2745:VC2753,IGR,NC_002505,VC0158:VC0162,IGR,NC_002505,799,184,0.0,0.0,2,-,2925247,2937464,150714,157313,+
VC0695,CDS,NC_002505,tyrA,CDS,NC_002505,794,63,0.0,0.0,2,+,743521,744626,744605,745771,+
VC2319,CDS,NC_002505,VC2320,CDS,NC_002505,773,59,0.0,0.0,2,-,2466518,2468648,2468619,2472279,-
VC2320,CDS,NC_002505,VC2319,CDS,NC_002505,765,38,0.0,0.0,2,-,2468637,2472266,2466517,2468652,-
VC0158:VC0162,IGR,NC_002505,fre:murB,IGR,NC_002505,765,141,0.0,0.0,2,+,150548,157245,323810,331204,+
VC0158:VC0162,IGR,NC_002505,VC2753,CDS,NC_002505,763,19,0.0,0.0,2,+,150902,157141,2939149,2939320,-
fre:murB,IGR,NC_002505,VC2753,CDS,NC_002505,761,17,0.0,0.0,2,+,323904,329746,2939148,2939328,-
VC0713:VC0714,IGR,NC_002505,VC2489:VC2497,IGR,NC_002505,753,29,0.0,0.0,2,+,764305,768189,2671037,2681757,-
VC2187,5UTR,NC_002505,Vcr078,sRNA,NC_002505,748,6,0.0,0.0,2,-,2334090,2334261,2332928,2333133,-
